INDEX,ADDRESS,ADMINISTRATOR,CITY,FACILITY_TYPE,NAME,PHONE,ST,ZIP,OWNER,lat,long
28,108 East Pettit Avenue,,Fort Wayne,Blood Center,"Csl Plasma, Inc",(260)454-5083,IN,46806,,41.036938,-85.135584
29,"5905 Madison Ave, Suite E",,Indianapolis,Blood Center,"Csl Plasma, Inc",(317)808-5998,IN,46227,,39.680674800000006,-86.12954997622137
30,2000 Center Drive,,Evansville,Blood Center,"Csl Plasma, Inc",(812)473-7014,IN,47711,,38.6701019,-121.5046585
31,312 West Highway 20,,Michigan City,Blood Center,"Csl Plasma, Inc",(219)268-6284,IN,46360,,41.68289275,-86.25443565
32,2029 W Washington St,,Indianapolis,Blood Center,"Csl Plasma, Inc",(463)276-6021,IN,46222,,39.76568255,-86.19618230262643
33,4025 W 3Rd St,,Bloomington,Blood Center,"Csl Plasma, Inc",(812)558-2257,IN,47404,,39.21651,-86.58463611463046
34,7750 E Ridge Rd,,Hobart,Blood Center,"Csl Plasma, Inc",(219)484-2099,IN,46342,,39.450405,-86.5730759
35,1321 S Madison St,,Muncie,Blood Center,"Csl Plasma, Inc",(765)273-4130,IN,47302,,40.1624531,-85.7260804
36,1810 N First Ave,,Evansville,Blood Center,"Evansville Octapharma Plasma, Inc",(812)463-6162,IN,47710,,41.0922566,-85.1233646
37,3902 S Madison Avenue,,Indianapolis,Blood Center,Grifols Bio Supplies Inc,(317)786-4470,IN,46227,,39.709854,-86.1145295
38,1665 E 10Th Street,,Jeffersonville,Blood Center,"Immunotek Bio Centers, Llc",(812)850-3126,IN,47130,,19.1718449,73.11271955000001
39,2608 N 6Th St,,Vincennes,Blood Center,Join Parachute - Vincennes,(812)416-5640,IN,47591,,38.6906683,-87.5032328
40,699 Creekview Dr,,Columbus,Blood Center,Join Parachute- Columbus,(812)416-5891,IN,47201,,39.20521268030484,-85.88410172502049
41,3859 W Washington St,,Indianapolis,Blood Center,Kedplasma Llc,(463)271-2650,IN,46241,,39.75886085,-86.22791417861919
42,8807 E Washington Street,,Indianapolis,Blood Center,Octapharma Plasma Center,(317)897-8044,IN,46219,,39.78767795,-86.01310705018699
43,2102 South Michigan St,,South Bend,Blood Center,"Octapharma Plasma, Inc",(574)234-9568,IN,46613,,41.65231115,-86.24928801417562
44,2660 Lafayette Road,,Indianapolis,Blood Center,"Octapharma Plasma, Inc",(317)664-7491,IN,46222,,39.803881399999995,-86.215629761102
45,115 Walnut St,,Terre Haute,Blood Center,"Octapharma Plasma, Inc",(812)234-0501,IN,47805,,39.089715,-94.41488223780965
46,3355 Douglas Rd,,South Bend,Blood Center,South Bend Medical Foundation,(574)234-4176,IN,46635,,41.7091673,-86.2057662
47,1212 East California Rd,,Fort Wayne,Blood Center,The American National Red Cross,(260)399-8545,IN,46825,,41.1184382,-85.1240497
48,2126 45Th Street,,Highland,Blood Center,"Versiti Illinois, Inc",(219)922-1942,IN,46322,,41.5376824,-87.4777617
49,3450 N Meridian St,,Indianapolis,Blood Center,"Versiti Indiana, Inc",(317)916-5150,IN,46208,,39.8187742,-86.1572144
50,11903 E Welland Street,,Indianapolis,Home Health,A Passionate Helping Hand Home Health Care Llc,,IN,46229,,39.77847535,-85.95551245029681
51,5475 Broadway,Britney Bynum,Merrillville,Home Health,Ab Home Health  Llc,(800)318-2900,IN,46410,,41.50888774990725,-87.33604673436577
52,3645 N Briarwood Ln  Ste D,Peggy Grueneier,Muncie,Home Health,Access To Care Llc,(765)282-4766,IN,47304,,40.221906093759166,-85.42830093014592
53,"2600 Roosevelt Rd, Ste 200-1",,Valparaiso,Home Health,Aveanna Healthcare,,IN,46383,,41.491738394469,-87.046432968966
54,7400 N Shadeland Ave,,Indianapolis,Home Health,"Altra Homecare Group, Llc",,IN,46250,,39.89217655,-86.04611195
55,"330 West Us Hwy 30, Suite B",Tina Gonterman,Valparaiso,Home Health,Bayada Pediatrics,(219)462-1718,IN,46385,,40.756460149999995,-73.99252248791056
56,"9521 Indianapolis Blvd, Suite O",Tracy Overla,Highland,Home Health,Brightstar Of Lake County Indiana,(219)924-0200,IN,46322,,39.757919799999996,-86.1595095814074
57,2701 Beech Street Suite E,Valerie Lijana-Hinch,Valparaiso,Home Health,Brightstar Of Valparaiso,(219)299-2319,IN,46383,,32.2272547,-101.46977193006514
58,6213 Royal Gate Pl,Pardeep Gill,Indianapolis,Home Health,Care4U Home Health Services Inc,(317)567-3448,IN,46237,,39.642612650000004,-86.05944441680575
59,"6801 Lake Plaza Drive, Suite A-102",Kayce Williams,Indianapolis,Home Health,Cnscares,(317)939-5027,IN,46220,,39.87984555,-86.0687169902883
60,1909 South Heaton Street,Carolyn Krause,Knox,Home Health,Community Home Care Services Inc,(574)772-3157,IN,46534,,41.277711100000005,-86.6206709
61,6720 East State Boulevard,Mayokun Adeyale,Fort Wayne,Home Health,"Compassionate Health Services, Llc",(260)494-5844,IN,46815,,41.101922,-85.055873
62,2310 N Wayne Street Ste D,Brandie Landis,Angola,Home Health,Crossroads Home Care Inc,(260)665-7123,IN,46703,,41.662784155153,-84.999485489375
63,1815 South Plate Street,,Kokomo,Home Health,Comfort Home Health Llc,,IN,46902,,40.4655335,-86.11640055600489
64,1815 S Plate St,,Kokomo,Home Health,Comfort Home Health Llc,,IN,46902,,40.4655335,-86.11640055600489
65,498 1/2 W Eads Parkway  Suite D,Cheryl Schwab,Lawrenceburg,Home Health,Energy Employee Services Llc,(513)720-2539,IN,47025,,33.7708415,-84.599325539375
66,213 Us 231,Lori Persohn,Jasper,Home Health,Family Palliative Care,(812)996-0674,IN,47546,,38.389156,-86.9415595
67,103 E Warren Street Po Box 4,Amy Manifold,Middlebury,Home Health,Firefly Home Health Llc,(574)797-0182,IN,46540,,41.6514269,-85.7048446
68,8505 Woodfield Crossing Blvd,Rita Shew,Indianapolis,Home Health,Five Star Home Health Inc,(317)786-8701,IN,46240,,39.9107998,-86.1099254
69,419 N Wayne Street,,Angola,Home Health,Home Sweet Home Health Care Llc,,IN,46703,,43.4795932,-80.5424271
70,7318 Crossing Place,,Fishers,Home Health,Independent Home Health Care Llc,,IN,46038,,39.960252606685074,-86.0399034013919
71,8765 Guion Rd Ste E,Julia Millard,Indianapolis,Home Health,Kabafusion In  Llc,(317)870-2090,IN,46268,,39.91394055,-86.22931109794774
72,800 N Bell Trace Cir,Jennifer Norris,Bloomington,Home Health,Lifespan Home Health Llc,(812)332-2355,IN,47408,,39.16978305,-86.49023223994253
73,205 Franciscan Dr,Cathy Wood,Crown Point,Home Health,Majestic Care Home Health,(219)661-5100,IN,46307,,41.3983491,-87.3676311
74,1208 W White River Blvd Ste 139,Rhonda Thorpe,Muncie,Home Health,No Place Like Home Home Health Care Llc,(765)393-2798,IN,47303,,40.16197960853761,-85.33996084731542
75,2118 Inwood Drive  Suite 106,Antonio Carreon,Fort Wayne,Home Health,One Purpose Senior Healthcare Llc,(260)702-9888,IN,46815,,41.0962337,-85.0870252
76,1829 E Spring St,Leigh Underhill,New Albany,Home Health,Option Care,(800)304-0123,IN,47150,,36.5698965,-115.70329407710281
77,867 W Carmel Dr,Nikki Himmel,Carmel,Home Health,Option Care,(866)846-3979,IN,46032,,39.95530865,-86.16630440162524
78,7440 Woodland Drive Ste 01-106,Karen Hoover,Indianapolis,Home Health,"Optum Infusion Services 305, Llc",(260)460-1753,IN,46278,,39.88843385,-86.26830398057061
79,48 North Emerson Avenue Suite 300,Keri Johnson,Greenwood,Home Health,Pentec Health Inc,(317)807-1551,IN,46143,,39.616448099553,-86.082741996842
80,7202 N Shadeland Ave Suite 127,Paula Puntenney,Indianapolis,Home Health,Perfect Health Care Services Inc,(317)360-9200,IN,46250,,42.5706167,-87.95566625000001
81,3303 Pines Village Cir,Deborah Medina,Valparaiso,Home Health,Pines Village Home Health Care,(219)465-1591,IN,46383,,41.49847066003358,-87.04506090305836
82,219 Walnut Street,Michaelene Oates,Lawrenceburg,Home Health,"Professional Case Management Of Indiana, Llc",(812)252-4645,IN,47025,,39.08964709999999,-94.4123819
83,6370 Robin Run W,Stephanie Blevins,Indianapolis,Home Health,Robin Run Health Center,(317)293-5500,IN,46268,,39.8719429,-86.25312252456632
84,813 Westfield Rd Suite 200,Christina Davis,Noblesville,Home Health,"Simply Home Health, Llc",(317)219-6012,IN,46062,,40.046909419325,-86.029818268628
85,325 Walnut Street,Haley Lane,Lawrenceburg,Home Health,"United Energy Workers Healthcare, Corp",(812)577-0774,IN,47025,,39.0895524,-94.41064469009399
86,1037 Sheffield Ave,Joseph Olusola,Dyer,Home Health,"We Care Home Health Agency, Llc",(219)595-0702,IN,46311,,39.78176775,-86.1978602748599
87,2040 Washington Avenue,Kasey White,Evansville,Home Health,Welcome Home Health Care Inc,(812)491-2273,IN,47714,,38.89939685,-77.03051222530138
88,2725 E 56Th St,Erica Engleman,Indianapolis,Home Health,Woods Home Healthcare Llc,(317)279-6363,IN,46220,,40.4022335,-96.1852529749947
89,1930 Edison Road,,South Bend,Hospice,Ascent Hospice Llc,(574)213-2727,IN,46617,,39.672981199999995,-86.19506768774892
90,5265 Commerce Blvd.,,Crown Point,Hospice,Heartland Hospice Services Of Nw In,,IN,46307,,41.47416708296,-87.40013818579
91,1015 Michigan Ave,Carrie Cadwell,Logansport,Hospital,4C Health,(574)722-5151,IN,46947,,40.762161199999994,-86.36338480401064
92,53131 Quince Rd,Mark Waltz,South Bend,Hospital,A Rosie Place,(574)235-8899,IN,46628,,41.720046,-86.3814643
93,1100 Mercer Ave,Scott Smith,Decatur,Hospital,Adams Memorial Hospital,(260)724-2145,IN,46733,,40.8165996,-84.91433173953473
94,2015 Jackson St,Parveen Chand,Anderson,Hospital,Ascension St Vincent Anderson,(765)646-8238,IN,46016,,40.0959152,-85.6802848300378
95,13500 N Meridian St,Parveen Chand,Carmel,Hospital,Ascension St Vincent Carmel,(317)582-7901,IN,46032,,39.9821348,-86.14595489083862
96,1206 E National Ave,Jamie Webster,Brazil,Hospital,Ascension St Vincent Clay,(812)442-2500,IN,47834,,39.5288684,-87.11129780414319
97,3700 Washington Ave,Alexander Chang,Evansville,Hospital,Ascension St Vincent Evansville,(812)485-4000,IN,47750,,37.9657196,-87.50416259300508
98,13861 Olio Road,Parveen Chand,Fishers,Hospital,Ascension St Vincent Fishers,(317)415-9000,IN,46037,,39.9892412,-85.9165248
99,10580 N Meridian St,Lori Shannon,Carmel,Hospital,Ascension St Vincent Heart Center,(317)583-5000,IN,46290,,39.9398724,-86.1589895
100,2001 W 86Th St,Dan Parod,Indianapolis,Hospital,Ascension St Vincent Hospital,(317)338-7000,IN,46260,,39.91184955,-86.1984564
101,301 Henry St,Christina Crank,North Vernon,Hospital,Ascension St Vincent Jennings,(812)352-4228,IN,47265,,39.0103129,-85.64108477280786
102,1907 W Sycamore St,Parveen Chand,Kokomo,Hospital,Ascension St Vincent Kokomo,(765)452-5611,IN,46904,,40.3600366,-87.4344604
103,1331 S A St,Ann Yates,Elwood,Hospital,Ascension St Vincent Mercy,(765)552-4743,IN,46036,,40.2755091,-85.84376813357535
104,473 E Greenville Ave,Shelley Miller,Winchester,Hospital,Ascension St Vincent Randolph,(765)584-0004,IN,47394,,40.16897075,-84.9690476082717
105,911 N Shelby St,Donna Cassidy,Salem,Hospital,Ascension St Vincent Salem,(812)883-5881,IN,47167,,38.613387,-86.10730540552507
106,8050 Township Line Rd,Joel Feldman,Indianapolis,Hospital,Ascension St Vincent Seton Specialty Hospital,(317)415-8500,IN,46260,,39.901486750000004,-86.20445980322773
107,1116 Millis Ave,Alexander Chang,Boonville,Hospital,Ascension St Vincent Warrick,(812)897-4800,IN,47601,,38.0421806,-87.2628586
108,412 N Monroe St,Trina Marlatt,Williamsport,Hospital,Ascension St Vincent Williamsport,(765)762-4001,IN,47993,,40.290214500000005,-87.29656860304492
109,900 North High School Road,Marti Tolliver,Indianapolis,Hospital,Assurance Health Psychiatric Hospital,(317)982-3715,IN,46214,,39.7776228,-86.273254
110,1850 State St,Michael Schroyer,New Albany,Hospital,Baptist Health Floyd,(812)944-7701,IN,47150,,38.301249,-85.8339081621545
111,3600 N Prow Rd,Christine Schultz,Bloomington,Hospital,Bloomington Meadows Hospital,(812)331-8000,IN,47404,,39.20605315,-86.55098737289987
112,3050 N Lintel Drive,Andrew Keen,Bloomington,Hospital,Bloomington Regional Rehabilitation Hospital Llc,(812)336-2815,IN,47404,,39.2025645,-86.5905282
113,303 S Main St,Julie Thompson,Bluffton,Hospital,Bluffton Regional Medical Center,(260)824-3210,IN,46714,,40.7374197,-85.17083680105787
114,4488 Roslin Rd,John Strachan,Newburgh,Hospital,Brentwood Springs,(812)858-7200,IN,47630,,37.992979250000005,-87.33168074074511
115,1612 Blackiston View Drive,Rosa Mcgowen,Clarksville,Hospital,Brightwell Behavioral Health,(574)339-3094,IN,47129,,38.3203711,-85.7673302
116,416 E Maumee St,Angela Logan,Angola,Hospital,Cameron Health,(260)665-2141,IN,46703,,41.6341523,-84.99482822362532
117,2401 W University Ave 5Th Floor East Tower,Candace Moehringer,Muncie,Hospital,Central Indiana  Amg Specialty Hospital Llc,(765)751-5253,IN,47303,,40.197546875283,-85.414092694866
118,2400 E 17Th St,Jacob Baker,Columbus,Hospital,Columbus Regional Hospital,(812)379-4441,IN,47201,,39.21817825,-85.89501240807752
119,8102 Clearvista Parkway,Cathy Boggs,Indianapolis,Hospital,Community Fairbanks Recovery Center,(317)849-8222,IN,46256,,39.9028231,-86.040818
120,607 South Greenwood Springs Drive,Michelle Russell,Greenwood,Hospital,Community Health Network Rehabilitation Hosp So,(317)215-3808,IN,46143,,39.6281387,-86.0755379
121,7343 Clearvista Drive,Roxanne Stacy,Indianapolis,Hospital,Community Health Network Rehabilitation Hospital,(317)585-5400,IN,46256,,39.90068512684237,-86.04545245639935
122,901 Macarthur Blvd,Randy Neiswonger,Munster,Hospital,Community Hospital,(219)836-1600,IN,46321,,41.55062755,-87.50600319701695
123,1500 N Ritter Ave,Elizabeth Tharp,Indianapolis,Hospital,Community Hospital East,(317)355-5411,IN,46219,,39.786264349999996,-86.07562054979486
124,7150 Clearvista Dr,Elizabeth Tharp,Indianapolis,Hospital,Community Hospital North,(317)621-5335,IN,46256,,39.9010217,-86.04089111289873
125,1515 N Madison Ave,Elizabeth Tharp,Anderson,Hospital,Community Hospital Of Anderson And Madison County,(765)298-4242,IN,46011,,40.1325666,-85.69753073626445
126,1020 High Rd,David Bailey,Bremen,Hospital,Community Hospital Of Bremen Inc,(574)546-2211,IN,46506,,41.45606375,-86.158653255123
127,1402 E County Line Rd S,Elizabeth Tharp,Indianapolis,Hospital,Community Hospital South,(317)887-7000,IN,46227,,39.63728905,-86.13248842133666
128,3500 S Lafountain St,Elizabeth Tharp,Kokomo,Hospital,Community Howard Regional Health Inc,(765)776-8000,IN,46902,,40.44719395,-86.1242088668685
129,8920 E 56Th Street,Catherine Middleton,Brownsburg,Hospital,Community Rehabilitation Hospital West,(463)348-7000,IN,46112,,25.71625985,-80.33961712841955
130,1314 E Walnut St,Dana Muntz,Washington,Hospital,Daviess Community Hospital,(812)254-2760,IN,47501,,38.65937665,-87.15976061477349
131,1808 Sherman Dr,Claudia Eisenmann,Princeton,Hospital,Deaconess Gibson Hospital,(812)385-3401,IN,47670,,38.3608678,-87.5901655298976
132,600 Mary St,Shawn Mccoy,Evansville,Hospital,Deaconess Hospital Inc,(812)450-5000,IN,47710,,37.98385435,-87.57142630334626
133,720 N Lincoln St,Rex Mckinney,Greensburg,Hospital,Decatur County Memorial Hospital,(812)663-4331,IN,47240,,39.344366300000004,-85.47807963647904
134,417 S Whitlock St,Matthew Sons,Bremen,Hospital,Doctors Neuropsychiatric Hospital,(574)546-0330,IN,46506,,41.443335,-86.1503194
135,275 W 12Th St,David Brooks,Peru,Hospital,Dukes Memorial Hospital,(765)472-8000,IN,46970,,40.75680505,-86.08234605740742
136,2520 E Dupont Rd,Brent Parsons,Fort Wayne,Hospital,Dupont Hospital Llc,(260)416-3000,IN,46825,,41.175138149999995,-85.1088394379203
137,600 E Blvd,Carl Risk,Elkhart,Hospital,Elkhart General Hospital,(574)294-2621,IN,46514,,41.6788543,-85.99345506913818
138,9355 Warrick Trail,Blake Bunner,Newburgh,Hospital,Encompass Health Deaconess Rehabilitation Hospital,(812)476-9983,IN,47630,,37.9785544,-87.42002238116854
139,720 Eskenazi Avenue,Lisa Harris,Indianapolis,Hospital,Eskenazi Health,(317)880-4818,IN,46202,,39.77820945,-86.18436603942047
140,3300 E Morgan Ave,Carlene Oliver,Evansville,Hospital,Evansville Psychiatric Children's Center,(812)477-6436,IN,47715,,37.993908,-87.5090659
141,3400 Lincoln Avenue,Cathe Fulcher,Evansville,Hospital,Evansville State Hospital,(812)469-6800,IN,47714,,37.972745450000005,-87.50303887440447
142,1710 Lafayette Rd,Terrence Klein,Crawfordsville,Hospital,Franciscan Health Crawfordsville,(765)362-2800,IN,47933,,40.06627975,-86.9060077804393
143,12750 Saint Francis Drive,Barbara Anderson,Crown Point,Hospital,Franciscan Health Crown Point,(219)757-6100,IN,46307,,41.387770149999994,-87.32298946413013
144,24 Joliet St,Dean Mazzoni,Dyer,Hospital,Franciscan Health Dyer,(219)865-2141,IN,46311,,41.4944717,-87.5255176
145,8111 S Emerson Ave,Lori Price,Indianapolis,Hospital,Franciscan Health Indianapolis,(317)528-5000,IN,46237,,39.64839485,-86.078781935364
146,1701 S Creasy Ln,Terrance Wilson,Lafayette,Hospital,Franciscan Health Lafayette,(765)502-4334,IN,47905,,40.3941518,-86.83489895104816
147,3500 Franciscan Way,Dean Mazzoni,Michigan City,Hospital,Franciscan Health Michigan City,(219)879-8511,IN,46360,,41.6600623,-86.8977120958948
148,1201 Hadley Rd,Lori Price,Mooresville,Hospital,Franciscan Health Mooresville,(317)831-1160,IN,46158,,39.6071477,-86.35571359811001
149,701 Superior Ave,Dean Mazzoni,Munster,Hospital,Franciscan Health Munster,(219)922-4200,IN,46321,,41.537994,-87.51210562766485
150,10777 Illinois Street,Lori Price,Carmel,Hospital,Franciscan Health Orthopedic Hospital Carmel,(317)528-5400,IN,46032,,39.98196131451585,-86.15425275176541
151,1104 E Grace St,Terrance Wilson,Rensselaer,Hospital,"Franciscan Health Rensselaer, Inc",(219)866-5141,IN,47978,,40.93430225,-87.13901628510857
152,520 S 7Th St,Robert Mclin,Vincennes,Hospital,Good Samaritan Hospital,(812)882-5220,IN,47591,,38.6724281,-87.5335798
153,200 High Park Ave,Randal Christophel,Goshen,Hospital,Goshen Hospital,(574)364-1000,IN,46526,,41.56337705,-85.83049135667174
154,505 Wabash Ave,Paul Kuczora,Marion,Hospital,"Grant-Blackford Mental Health, Inc",(765)662-3971,IN,46952,,40.57843823477575,-85.6769117516706
155,1185 N 1000 W,Brenda Reetz,Linton,Hospital,Greene County General Hospital,(812)847-2281,IN,47441,,39.0395837,-87.1292062
156,620 8Th Ave,Melvin Burks,Terre Haute,Hospital,Hamilton Center Inc,(812)231-8285,IN,47804,,39.484768700000004,-87.41619025
157,801 N State St,Stephen Long,Greenfield,Hospital,Hancock Regional Hospital,(317)462-5544,IN,46140,,39.79473585,-85.76743396214428
158,1141 Hospital Dr Nw,Lisa Clunie,Corydon,Hospital,Harrison County Hospital,(812)738-4251,IN,47112,,38.237854850000005,-86.14756256239666
159,1980 E Woodsmall Dr,Roopam Harshawat,Terre Haute,Hospital,Harsha Behavioral Center Inc,(812)298-8888,IN,47802,,39.40014,-87.3959506
160,1051 Southfield Drive,Ryan Gallagher,Plainfield,Hospital,Hendricks Behavioral Hospital,(844)991-9900,IN,46168,,39.6944795,-86.38799049186912
161,1000 E Main St,D. Michelle Fenoughty,Danville,Hospital,Hendricks Regional Health,(317)745-4451,IN,46122,,39.7626756,-86.50266751478205
162,1000 N 16Th St,Brian Ring,New Castle,Hospital,Henry County Memorial Hospital,(765)521-0890,IN,47362,,39.9434594,-85.362811310432
163,2102 S Meridian Street,,Indianapolis,Hospital,Hickory Treatment Center At Meridian,(314)258-1037,IN,46225,,39.7389054,-86.1595127725306
164,285 Bielby Rd,Greg Duncan,Lawrenceburg,Hospital,Incompass Healthcare,(812)537-1302,IN,47025,,39.1116132,-84.8821125
165,215 W 4Th Street,,Mishawaka,Hospital,Indiana Center For Recovery South Bend,(574)325-5961,IN,46544,,41.658650800000004,-86.18210117554833
166,13219 N Meridian Street,Hardeep Sikand,Carmel,Hospital,"Indiana Spine Hospital, Llc",(317)795-2000,IN,46032,,39.83,-86.1569444
167,1701 N Senate Blvd,Dennis Murphy,Indianapolis,Hospital,Indiana University Health,(317)962-2000,IN,46202,,39.791240450000004,-86.16317582423771
168,5165 Mccarty Ln,Arthur Vasquez,Lafayette,Hospital,Indiana University Health Arnett Hospital,(765)448-8000,IN,47905,,40.40068445,-86.80629351441166
169,2401 University Ave,Jeffrey Bird,Muncie,Hospital,Indiana University Health Ball Memorial Hospital,(765)747-3111,IN,47303,,40.19639895,-85.41534412177131
170,2900 W 16Th St,Larry Bailey,Bedford,Hospital,Indiana University Health Bedford Hospital,(812)275-1200,IN,47421,,38.858581650000005,-86.51291626785004
171,1300 S Jackson St,Kristin Post,Frankfort,Hospital,Indiana University Health Frankfort Inc,(765)656-3000,IN,46041,,40.2699007,-86.51154389846977
172,11700 N Meridian St,Doug Puckett,Carmel,Hospital,Indiana University Health North Hospital,(317)688-2000,IN,46032,,39.95903765,-86.16027634858844
173,642 W Hospital Rd,Michele Ridge,Paoli,Hospital,Indiana University Health Paoli Hospital,(812)723-2811,IN,47454,,38.56820835,-86.47501795758988
174,1000 S Main St,Liesel Delemater,Tipton,Hospital,Indiana University Health Tipton Hospital Inc,(765)675-8500,IN,46072,,40.2720046,-86.04231346128687
175,1701 North Senate Blvd,,Indianapolis,Hospital,Indiana University Health Transplant,(317)962-8677,IN,46206,,39.791240450000004,-86.16317582423771
176,720 South Sixth St,Kristin Post,Monticello,Hospital,Indiana University Health White Memorial Hospital,(574)583-7111,IN,47960,,40.73458895,-86.77775296716351
177,1260 City Center Drive,Logan Savage,Carmel,Hospital,"Indianapolis Rehabilitation Hospital, Llc",(463)333-9110,IN,46032,,39.9667371,-86.1513391
178,2651 East Discovery Parkway,Denzil Ross,Bloomington,Hospital,Iu Health Bloomington Hospital,(812)353-5252,IN,47408,,39.17734385,-86.50352701223837
179,500 W Votaw St,Christina Schemenaur,Portland,Hospital,Iu Health Jay,(260)726-7131,IN,47371,,40.4407165,-84.9845068510765
180,1111 N Ronald Reagan Pkwy,Doug Puckett,Avon,Hospital,Iu Health West Hospital,(317)217-3000,IN,46123,,39.78062935,-86.33994590400093
181,1125 W Jefferson St,David Dunkle,Franklin,Hospital,Johnson Memorial Hospital,(317)736-3300,IN,46131,,39.4795986,-86.07711235759359
182,1700 W 10Th St,Brad Klawitter,Indianapolis,Hospital,Kindred Hospital Indianapolis,(317)636-4400,IN,46222,,39.781468849999996,-86.19158440105898
183,8060 Knue Road,Judy Weaver,Indianapolis,Hospital,Kindred Hospital Indianapolis North,(317)813-8900,IN,46250,,39.9021178,-86.0604935
184,950 Park East Blvd,Dan Kidwell,Lafayette,Hospital,Lafayette Regional Rehabilitation Hospital,(765)447-4040,IN,47905,,40.4045411,-86.8294507
185,702 Van Buren Street,Perry Gay,Fort Wayne,Hospital,Lutheran Downtown Hospital,(260)425-3000,IN,46802,,41.0651334,-85.147407
186,7950 W Jefferson Blvd,Lorie Ailor,Fort Wayne,Hospital,Lutheran Hospital Of Indiana,(260)435-7001,IN,46804,,41.0389971,-85.2497135
187,2101 E Dubois Dr,Chad Towner,Warsaw,Hospital,Lutheran Kosciusko Hospital,(574)267-3200,IN,46580,,41.24814255,-85.82889547684118
