INDEX,ADDRESS,ADMINISTRATOR,CITY,FACILITY_TYPE,NAME,PHONE,ST,ZIP,lat,long
49,125 E Maxwell St,N/A,Lexington,CMS Provider/Clinician,"Kentucky Medical Services Foundation, Inc",(859)323-3231,KY,40508,38.042897021125,-84.500611240825
50,"150 Mount Vernon Dr, Suite 202",N/A,Georgetown,CMS Provider/Clinician,Ear Nose And Throat Specialists Pllc,(502)867-7806,KY,40324,38.188143265814,-84.559758521373
51,"1140 Lexington Rd, Suite 102",N/A,Georgetown,CMS Provider/Clinician,Ear Nose And Throat Specialists Pllc,(nan)-,KY,40324,38.185774188566,-84.562187954882
52,"279 Kings Daughters Dr, Suite 202",N/A,Frankfort,CMS Provider/Clinician,Ear Nose And Throat Specialists Pllc,(502)226-6494,KY,40601,38.159692965114,-84.906036079891
53,1020 High Rd,N/A,Bremen,CMS Provider/Clinician,Radiology Inc,(574)546-2211,IN,46506,41.457154345749,-86.158790176015
54,"303 S Nappanee St, Elkhart Clinic",N/A,Elkhart,CMS Provider/Clinician,Radiology Inc,(574)296-3365,IN,46514,41.681446265909,-86.003443978843
55,1115 Professional Dr,N/A,Goshen,CMS Provider/Clinician,Radiology Inc,(574)364-4850,IN,46526,41.572092708399,-85.849967120901
56,1135 Professional Dr,N/A,Goshen,CMS Provider/Clinician,Radiology Inc,(574)364-4000,IN,46526,41.572362779385,-85.850048852873
57,200 High Park Ave,N/A,Goshen,CMS Provider/Clinician,Radiology Inc,(574)535-2693,IN,46526,41.564283746714,-85.829832947644
58,"6901 N Main St, Memorial Lighthouse Imagin",N/A,Granger,CMS Provider/Clinician,Radiology Inc,(574)647-2900,IN,46530,41.722347177182,-86.1781778133
60,535 Barnhill Dr,N/A,Indianapolis,CMS Provider/Clinician,University Urologists Inc Pc,(nan)-,IN,46202,39.775264334563,-86.178528149505
61,550 University Blvd,N/A,Indianapolis,CMS Provider/Clinician,University Urologists Inc Pc,(317)962-3700,IN,46202,39.775300700398,-86.17557455106
62,1701 N Senate Blvd,N/A,Indianapolis,CMS Provider/Clinician,Iu Health Medical Group Llc,(888)484-3258,IN,46202,39.788417435639,-86.165638430352
63,2390 National Rd W,N/A,Richmond,CMS Provider/Clinician,Cutting Edge Physical Therapy Limited Partnership,(nan)-,IN,47374,39.823983196958,-84.933753856711
64,9600 E 146Th St,N/A,Noblesville,CMS Provider/Clinician,Healthpro Heritage Rehab And Fitness Llc,(317)939-4418,IN,46060,40.000960192798,-85.999117561097
65,8040 Clearvista Pkwy,N/A,Indianapolis,CMS Provider/Clinician,"Community Anesthesia Associates, Pc",(317)621-2000,IN,46256,39.901124442109,-86.037812719543
67,"1000 E Main St, Pathology Dept",N/A,Danville,CMS Provider/Clinician,Ameripath Indianapolis Pc,(317)745-3555,IN,46122,39.759678066531,-86.511238268661
68,"801 N State St, Pathology Dept",N/A,Greenfield,CMS Provider/Clinician,Ameripath Indianapolis Pc,(317)468-4465,IN,46140,39.79373871545,-85.769501918895
69,2001 W 86Th St,N/A,Indianapolis,CMS Provider/Clinician,Ameripath Indianapolis Pc,(317)338-2345,IN,46260,39.911973125425,-86.196443226328
70,1700 Nicholasville Rd,N/A,Lexington,CMS Provider/Clinician,Baptist Health Medical Group Inc,(nan)-,KY,40503,38.0192163459,-84.513715463739
71,"4071 Tates Creek Centre Dr, Suite 202",N/A,Lexington,CMS Provider/Clinician,Baptist Health Medical Group Inc,(859)260-4390,KY,40517,37.971226941383,-84.4978347879
72,"230 E Day Rd, Suite 100",N/A,Mishawaka,CMS Provider/Clinician,Michiana Eye Center Llc,(574)271-3939,IN,46545,41.698607799271,-86.180055490935
73,8111 S Emerson Ave,N/A,Indianapolis,CMS Provider/Clinician,"Southeast Anesthesiologists, Inc.",(317)528-5000,IN,46237,39.648338733426,-86.082582425201
74,"801 Macarthur Blvd, Suite 405",N/A,Munster,CMS Provider/Clinician,Community Care Network Inc,(219)836-5167,IN,46321,41.550143275689,-87.50893031981
76,901 Macarthur Blvd,N/A,Munster,CMS Provider/Clinician,"Nwi Medical Associates , Llc",(219)703-1443,IN,46321,41.550133926286,-87.507681503089
77,150 W Washington St,N/A,Shelbyville,CMS Provider/Clinician,Franciscan Physician Network,(317)865-5904,IN,46176,39.524503765841,-85.780594786674
81,"9200 Calumet Ave, Suite E107",N/A,Munster,CMS Provider/Clinician,Rush University Medical Group,(219)806-6585,IN,46321,41.547797351239,-87.509089955838
82,"11501 Cumberland Rd, Suite 500",N/A,Fishers,CMS Provider/Clinician,Allergy Partners Pllc,(317)863-9300,IN,46037,39.954703006728,-85.994815773973
83,2201 Lexington Ave,N/A,Ashland,CMS Provider/Clinician,West Fairview Emergency Physicians Llc,(954)939-5000,KY,41101,38.470392882591,-82.635887930224
84,"10767 Illinois St, Suite 3000",N/A,Carmel,CMS Provider/Clinician,Thomas A Brady Sports Medicine Ctr,(317)817-1200,IN,46032,39.946510998729,-86.161176305009
85,"600 Vale Park Rd N, Uchicago Medicine Cancer C",N/A,Valparaiso,CMS Provider/Clinician,The University Of Chicago,(888)824-0200,IN,46383,41.493461582377,-87.05615024433
86,2441 Murray St,N/A,Chesterton,CMS Provider/Clinician,Ccmma Sc Llc,(845)702-2711,IN,46304,41.584646762814,-87.029283354927
88,105 Prather Path,N/A,Georgetown,CMS Provider/Clinician,Kentucky Mso Llc,(nan)-,KY,40324,38.210508650981,-84.66810766539
89,"425 Sand Creek Dr, Suite C",N/A,Chesterton,CMS Provider/Clinician,Chesterton Physical Therapy Inc,(nan)-,IN,46304,41.614493112614,-87.034471563025
90,825 Barret Ave,N/A,Louisville,CMS Provider/Clinician,Community Medical Associates Inc,(502)272-5165,KY,40204,38.241104810928,-85.731752621931
91,"1402 E County Line Rd, Suite 2400",N/A,Indianapolis,CMS Provider/Clinician,Community Physicians Of Indiana Inc,(317)887-7880,IN,46227,39.635518762732,-86.13469854387
92,"1373 E State Rd, 62 Suite 2A",N/A,Madison,CMS Provider/Clinician,Community Medical Associates Inc,(812)801-0848,IN,47250,38.789243408084,-85.365104247816
93,"2412 Ring Rd, Suite 100",N/A,Elizabethtown,CMS Provider/Clinician,Community Medical Associates Inc,(270)769-2273,KY,42701,37.732322642387,-85.847619115655
94,"10300 N Illinois St, Suite 1070",N/A,Indianapolis,CMS Provider/Clinician,"Nicholas F. Hrisomalos Md, Pc",(317)817-1500,IN,46290,39.937728065105,-86.160790210736
95,1011 W 2Nd St,N/A,Bloomington,CMS Provider/Clinician,Integ Health System Pc,(812)334-1213,IN,47403,39.161379581823,-86.544896610551
96,1111 Ronald Reagan Pkwy,N/A,Avon,CMS Provider/Clinician,Indiana Clinic Critical Care Llc,(317)962-3400,IN,46123,39.782915262065,-86.343734484016
97,"1801 Senate Blvd, 2000 Advanced Heart And Lung",N/A,Indianapolis,CMS Provider/Clinician,Indiana Clinic Critical Care Llc,(317)962-9700,IN,46202,39.789616662393,-86.165525501542
98,"1801 N Senate Blvd, Suite 230",N/A,Indianapolis,CMS Provider/Clinician,Indiana Clinic Critical Care Llc,(317)962-5820,IN,46202,39.789616662393,-86.165525501542
99,1405 Washington St,N/A,Columbus,CMS Provider/Clinician,Family Chiropractic And Wellness Llc,(812)373-3376,IN,47201,39.212296134208,-85.921391043148
100,2610 Enterprise Dr,N/A,Anderson,CMS Provider/Clinician,Central Indiana Orthopedics Llc,(765)683-4400,IN,46013,40.04051866754,-85.719080297926
101,6459 Us Hwy 6,N/A,Portage,CMS Provider/Clinician,Advanced Physical Therapy Llc,(219)762-5592,IN,46368,41.550477881654,-87.164514182837
102,2604 Michigan Rd,N/A,Madison,CMS Provider/Clinician,Psf Pllc,(812)265-3300,IN,47250,38.774820607422,-85.387268690217
103,5001 Houston Rd,N/A,Florence,CMS Provider/Clinician,Psf Pllc,(859)980-7180,KY,41042,39.013337114041,-84.640812407506
104,"12188 B N Meridian St, Suite 280",N/A,Carmel,CMS Provider/Clinician,Franciscan Physician Network,(317)705-4550,IN,46032,39.966104240699,-86.158018734288
105,3611 Newburg Rd,N/A,Louisville,CMS Provider/Clinician,Aptiva Health,(502)909-0772,KY,40218,38.18800801353,-85.669218751793
106,909 E State Blvd,N/A,Fort Wayne,CMS Provider/Clinician,Park Center Inc,(260)481-2718,IN,46805,41.096674551731,-85.127341493228
107,"3415 New Hartford Rd, Suite 2",N/A,Owensboro,CMS Provider/Clinician,Kentucky Orthopedic Rehabilitation Llc,(270)684-7856,KY,42303,37.736801379017,-87.090914717357
108,10015 Main St,N/A,Whitesville,CMS Provider/Clinician,Kentucky Orthopedic Rehabilitation Llc,(270)233-8007,KY,42378,37.683650401487,-86.872675475781
109,1006 Ford Ave,N/A,Owensboro,CMS Provider/Clinician,"Owensboro Health, Inc",(270)688-4845,KY,42301,37.753620271188,-87.122336448367
111,"1532 Lone Oak Rd, Suite 415",N/A,Paducah,CMS Provider/Clinician,Mercy Health Physicians Kentucky Specialty Care Llc,(270)442-0103,KY,42003,37.053402849808,-88.647135633846
112,520 S 7Th St,N/A,Vincennes,CMS Provider/Clinician,Apogee Medical Group Indiana Pc,(812)882-5220,IN,47591,38.67392444451,-87.532120532837
114,438 Adam Shepherd Pkwy,N/A,Shepherdsville,CMS Provider/Clinician,Community Medical Associates Inc,(nan)-,KY,40165,37.994292195606,-85.710103441401
115,"200 E Chestnut St, Bldg Suite303",N/A,Louisville,CMS Provider/Clinician,Community Medical Associates Inc,(502)629-5552,KY,40202,38.248211772883,-85.751762091104
116,2211 Mayfair Dr,N/A,Owensboro,CMS Provider/Clinician,Owensboro Health Medical Group Inc,(nan)-,KY,42301,37.753045649605,-87.123672493282
117,1301 Pleasant Valley Rd,N/A,Owensboro,CMS Provider/Clinician,Owensboro Health Medical Group Inc,(nan)-,KY,42303,37.778999735956,-87.071482819524
118,1201 Pleasant Valley Rd,N/A,Owensboro,CMS Provider/Clinician,Owensboro Health Medical Group Inc,(nan)-,KY,42303,37.773052469055,-87.065989050335
119,7910 E Washington St,N/A,Indianapolis,CMS Provider/Clinician,Community Physicians Of Indiana Inc,(nan)-,IN,46219,39.773084758008,-86.026806521033
120,"7120 Clearvista Dr, Suite 4000",N/A,Indianapolis,CMS Provider/Clinician,Community Physicians Of Indiana Inc,(317)621-7444,IN,46256,39.900162828493,-86.043230014457
121,800 Rose St,N/A,Lexington,CMS Provider/Clinician,"Kentucky Medical Services Foundation, Inc",(859)323-5000,KY,40536,38.032831817334,-84.506721276415
122,838 S Mayo Trl,N/A,Paintsville,CMS Provider/Clinician,Mountain Comprehensive Care Center Inc,(606)788-1345,KY,41240,37.807553341872,-82.799769231717
123,"3900 Kresge Way, Suite 30",N/A,Louisville,CMS Provider/Clinician,Women First Of Louisville Pllc,(502)891-8700,KY,40207,38.239618048121,-85.637952587235
124,"1429 No 6Th St, Uap Medical Office Buildin",N/A,Terre Haute,CMS Provider/Clinician,"Union Associated Physicians Clinic, Llc",(812)232-0564,IN,47807,39.482995562639,-87.410553614321
125,3101 Parisa Dr,N/A,Paducah,CMS Provider/Clinician,Paducah Dermatology Pllc,(270)444-8477,KY,42003,37.065186209186,-88.634877246157
126,900 Hospital Dr,N/A,Madisonville,CMS Provider/Clinician,Covenant Anesthesia Pllc,(270)825-5100,KY,42431,37.339513932709,-87.492034876354
127,101 Potters Ln,N/A,Clarksville,CMS Provider/Clinician,Consonant Healing Associates Of De Llc,(443)383-9300,IN,47129,38.327301613187,-85.784499554392
128,2100 Millvale Rd,N/A,Louisville,CMS Provider/Clinician,Consonant Healing Associates Of De Llc,(443)383-9300,KY,40205,38.232045102121,-85.685435176804
130,400 N Mount Zion Rd,N/A,Lebanon,CMS Provider/Clinician,Witham Memorial Hospital,(765)335-0123,IN,46052,40.044667387856,-86.491368150924
131,1650 W Oak St,N/A,Zionsville,CMS Provider/Clinician,Witham Memorial Hospital,(nan)-,IN,46077,39.950092240066,-86.284271523569
132,1100 Reid Pkwy,N/A,Richmond,CMS Provider/Clinician,Reid Physician Associates Inc,(765)983-3122,IN,47374,39.862874662594,-84.885812085987
133,"995 S Clarizz Blvd, Indiana University So In P",N/A,Bloomington,CMS Provider/Clinician,Indiana University Health Southern Indiana Physicians Llc,(888)484-3258,IN,47401,39.154354757706,-86.490773019635
134,707 W 2Nd St,N/A,Bloomington,CMS Provider/Clinician,Indiana University Health Southern Indiana Physicians Llc,(888)484-3258,IN,47403,39.161365172805,-86.541517312904
135,719 W 2Nd St,N/A,Bloomington,CMS Provider/Clinician,Indiana University Health Southern Indiana Physicians Llc,(888)484-3258,IN,47403,39.161365279302,-86.541676433116
136,727 W 2Nd St,N/A,Bloomington,CMS Provider/Clinician,Indiana University Health Southern Indiana Physicians Llc,(888)484-3258,IN,47403,39.161365279313,-86.54190420837
137,334 Thomas More Pkwy,N/A,Crestview Hills,CMS Provider/Clinician,Summit Medical Group Inc,(859)301-5901,KY,41017,39.02433371032,-84.567170315683
138,4001 Dutchmans Ln,N/A,Louisville,CMS Provider/Clinician,"Diagnostic X-Ray Physicians, Psc",(502)893-1000,KY,40207,38.233967002555,-85.633930696622
139,1 Audubon Plaza Dr,N/A,Louisville,CMS Provider/Clinician,"Diagnostic X-Ray Physicians, Psc",(502)636-7111,KY,40217,38.21408154834,-85.723046981224
140,"1720 Nicholasville Rd, Suite 400",N/A,Lexington,CMS Provider/Clinician,Baptist Health Medical Group Inc,(859)277-5887,KY,40503,38.019212953459,-84.513716638046
141,"1455 N Pennsylvania St, Riverscape Counseling",N/A,Indianapolis,CMS Provider/Clinician,Darcie R Clark Lpcc Llc,(937)319-4448,IN,46202,39.786700546346,-86.155711287268
142,"1221 S Creasy Ln, Suite A",N/A,Lafayette,CMS Provider/Clinician,Evans Eye Care Inc,(765)447-4951,IN,47905,40.399131252679,-86.83840301963
144,"10798 Dixie Hwy, Suite 102",N/A,Louisville,CMS Provider/Clinician,Community Medical Associates Inc,(502)588-9490,KY,40272,38.097937155367,-85.872632518315
145,340 Hwy 44 E,N/A,Shepherdsville,CMS Provider/Clinician,"Brock Medical, Llc",(502)215-8422,KY,40165,37.992281316187,-85.719835835395
146,27 Us Hwy 66 E,N/A,Tell City,CMS Provider/Clinician,Owensboro Health Medical Group Inc,(812)395-2011,IN,47586,37.940563997549,-86.76197555421
147,1 Medical Village Dr,N/A,Edgewood,CMS Provider/Clinician,Anesthesia Group Practice Inc,(859)301-2000,KY,41017,39.007980153759,-84.564775478456
148,600 Wilson Creek Rd,N/A,Lawrenceburg,CMS Provider/Clinician,Anesthesia Group Practice Inc,(812)537-1010,IN,47025,39.110606826066,-84.884647925887
149,"1720 Nicholasville Rd, Suite 601",N/A,Lexington,CMS Provider/Clinician,Baptist Health Medical Group Inc,(859)277-5887,KY,40503,38.019212953459,-84.513716638046
151,"8425 Woodfield Crossing Blvd, Suite 100",N/A,Indianapolis,CMS Provider/Clinician,Onhealthcare Llc,(248)528-2116,IN,46240,39.909822939962,-86.120123679486
155,"770 Rose St, Mn328",N/A,Lexington,CMS Provider/Clinician,University Of Kentucky,(859)323-8873,KY,40536,38.033485636332,-84.505799676392
156,800 Rose St,N/A,Lexington,CMS Provider/Clinician,University Of Kentucky,(859)257-8562,KY,40536,38.032831817334,-84.506721276415
157,"1701 Spring St, Suite B",N/A,Jeffersonville,CMS Provider/Clinician,Total Care Family Practice Rick Bobay Llc,(812)284-2273,IN,47130,38.288016931925,-85.749266728474
158,1356 S Lake Park Ave,N/A,Hobart,CMS Provider/Clinician,219 Health Network Inc,(219)945-5888,IN,46342,41.515452596257,-87.259064689633
160,80 Hospital Dr,N/A,Barbourville,CMS Provider/Clinician,"Triangle Anesthesia Group, Psc",(606)546-4175,KY,40906,36.85221241186,-83.870451154425
162,"1701 N Senate Blvd, C6",N/A,Indianapolis,CMS Provider/Clinician,Indiana University Radiology Associates Inc,(317)962-9000,IN,46202,39.788417435639,-86.165638430352
163,3125 S Scatterfield Rd,N/A,Anderson,CMS Provider/Clinician,Community Physicians Of Indiana Inc,(nan)-,IN,46013,40.084710708813,-85.652754885698
164,8890 E 116Th St,N/A,Fishers,CMS Provider/Clinician,Community Physicians Of Indiana Inc,(nan)-,IN,46038,39.956834424839,-86.011602764592
165,9669 E 146Th St,N/A,Noblesville,CMS Provider/Clinician,Community Physicians Of Indiana Inc,(nan)-,IN,46060,40.000968201142,-85.997536611612
166,1020 High Rd,N/A,Bremen,CMS Provider/Clinician,Beacon Medical Group Inc,(574)309-9967,IN,46506,41.457154345749,-86.158790176015
168,6913 N Main St,N/A,Granger,CMS Provider/Clinician,Beacon Medical Group Inc,(nan)-,IN,46530,41.722463248727,-86.178179735003
169,615 N Michigan St Fl,N/A,South Bend,CMS Provider/Clinician,Beacon Medical Group Inc,(nan)-,IN,46601,41.683985289669,-86.250585503207
170,"615 N Michigan St, Fl 5",N/A,South Bend,CMS Provider/Clinician,Beacon Medical Group Inc,(574)647-7275,IN,46601,41.683985289669,-86.250585503207
171,1815 E Ireland Rd,N/A,South Bend,CMS Provider/Clinician,Beacon Medical Group Inc,(nan)-,IN,46614,41.629537120821,-86.221202405494
173,"1203 E Hadley Rd, Suite 204",N/A,Mooresville,CMS Provider/Clinician,Franciscan Physician Network,(317)834-8062,IN,46158,39.609290355635,-86.355926143205
175,610 Medical Village Dr,N/A,Edgewood,CMS Provider/Clinician,Summit Medical Group Inc,(859)757-2132,KY,41017,39.009792496984,-84.564973040044
176,1640 Flossie Dr,N/A,Greendale,CMS Provider/Clinician,Summit Medical Group Inc,(855)277-4230,IN,47025,39.126658661835,-84.842140995502
177,427 Us 31W Byp,N/A,Bowling Green,CMS Provider/Clinician,"Commonwealth Health Corporation, Inc.",(270)796-8000,KY,42101,36.994710351726,-86.426362461679
178,"427 Us 31W Byp, Suite 204",N/A,Bowling Green,CMS Provider/Clinician,"Commonwealth Health Corporation, Inc.",(270)721-7166,KY,42101,36.994710351726,-86.426362461679
179,250 Park St,N/A,Bowling Green,CMS Provider/Clinician,"Commonwealth Health Corporation, Inc.",(270)781-7178,KY,42101,36.996373887935,-86.430025596165
180,350 Park St,N/A,Bowling Green,CMS Provider/Clinician,"Commonwealth Health Corporation, Inc.",(nan)-,KY,42101,36.995458492763,-86.431482158477
181,500 Clinic Dr,N/A,Hopkinsville,CMS Provider/Clinician,Baptist Health Medical Group Inc,(270)707-3354,KY,42240,36.827479165255,-87.471645751409
183,"493 Westfield Rd A, Rhp Ear Nose And Throat",N/A,Noblesville,CMS Provider/Clinician,Riverview Hospital,(317)770-5800,IN,46060,40.046959227446,-86.026023477338
184,"11725 Illinois St, Suite 445",N/A,Carmel,CMS Provider/Clinician,Otolaryngology Associates Llc,(317)844-7059,IN,46032,39.96008530149,-86.162330662021
185,"12065 Old Meridian St, Suite 205",N/A,Carmel,CMS Provider/Clinician,Otolaryngology Associates Llc,(317)844-7059,IN,46032,39.967031945001,-86.155886694562
186,"13100 E 136Th St, Suite 1200",N/A,Fishers,CMS Provider/Clinician,Otolaryngology Associates Llc,(317)844-7059,IN,46037,39.987845820661,-85.9288871302
187,"18051 River Rd, Suite 104",N/A,Noblesville,CMS Provider/Clinician,Otolaryngology Associates Llc,(317)844-7059,IN,46062,40.050593718528,-86.027890128184
188,950 S 1St St,N/A,Louisville,CMS Provider/Clinician,"Bridgehaven, Inc.",(502)585-9444,KY,40203,38.239582375224,-85.754525909107
189,601 Wall St,N/A,Valparaiso,CMS Provider/Clinician,Porter-Starke Services Inc,(574)772-4040,IN,46383,41.488827443713,-87.053977754186
190,550 N University Blvd,N/A,Indianapolis,CMS Provider/Clinician,University Medical Diagnostic Associates Inc,(217)274-5000,IN,46202,39.775300700398,-86.17557455106
191,1701 N Senate Ave,N/A,Indianapolis,CMS Provider/Clinician,Iu Health Medical Group Llc,(317)962-2000,IN,46202,39.793181944652,-86.162947411884
192,529 S Jackson St,N/A,Louisville,CMS Provider/Clinician,University Of Louisville Physicians Inc,(502)562-4363,KY,40202,38.248824851889,-85.744884673675
193,1314 E Walnut St,N/A,Washington,CMS Provider/Clinician,Daviess County Hospital,(nan)-,IN,47501,38.658730994876,-87.161092502166
194,2209 John R Wooden Dr,N/A,Martinsville,CMS Provider/Clinician,Indiana University Health Inc,(765)342-8441,IN,46151,39.427137677566,-86.406015798113
195,2900 16Th St,N/A,Bedford,CMS Provider/Clinician,Indiana University Health Bedford Inc,(812)275-1200,IN,47421,38.860909333962,-86.512077927944
196,1 Medical Village Dr,N/A,Edgewood,CMS Provider/Clinician,Summit Medical Group Inc,(859)212-4468,KY,41017,39.007980153759,-84.564775478456
197,145 Newcomb Ave,N/A,Mount Vernon,CMS Provider/Clinician,"Rockcastle Emergency Group, Llc",(606)256-2195,KY,40456,37.357605647958,-84.336093729061
198,204 Bridgeway St,N/A,Aurora,CMS Provider/Clinician,Summit Medical Group Inc,(855)227-4230,IN,47001,39.057009295812,-84.902754125612
199,600 Wilson Creek Rd,N/A,Lawrenceburg,CMS Provider/Clinician,Summit Medical Group Inc,(812)496-8771,IN,47025,39.110606826066,-84.884647925887
200,"1160 S Peru St, Cicero Family Care",N/A,Cicero,CMS Provider/Clinician,Riverview Hospital,(317)984-9311,IN,46034,40.122391530925,-86.013524987048
201,"395 Westfield Rd B, Ob/Gyn Specialists Of Indi",N/A,Noblesville,CMS Provider/Clinician,Riverview Hospital,(317)776-9440,IN,46060,40.046965741244,-86.023928989406
202,"395 Westfield Rd D, Noblesville Diabetic And End",N/A,Noblesville,CMS Provider/Clinician,Riverview Hospital,(317)776-3520,IN,46060,40.046965741244,-86.023928989406
203,395 Westfield Fr,N/A,Noblesville,CMS Provider/Clinician,Riverview Hospital,(nan)-,IN,46060,40.046965741244,-86.023928989406
