INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,ADMINISTRATOR,PHONE,OWNER
28,Hospital,Franciscan Health Indianapolis,8111 S Emerson Ave,Indianapolis,IN,46237,Lori Price,(317)528-5000,
29,Hospital,Franciscan Health Mooresville,1201 Hadley Rd,Mooresville,IN,46158,Lori Price,(317)831-1160,
30,Hospital,Greene County General Hospital,1185 N 1000 W,Linton,IN,47441,Brenda Reetz,(812)847-2281,
31,Hospital,Harrison County Hospital,1141 Hospital Dr Nw,Corydon,IN,47112,Lisa Clunie,(812)738-4251,
32,Hospital,Incompass Healthcare,285 Bielby Rd,Lawrenceburg,IN,47025,Greg Duncan,(812)537-1302,
33,Hospital,Indiana University Health Bedford Hospital,2900 W 16Th St,Bedford,IN,47421,Larry Bailey,(812)275-1200,
34,Hospital,Indiana University Health Paoli Hospital,642 W Hospital Rd,Paoli,IN,47454,Michele Ridge,(812)723-2811,
35,Hospital,Iu Health Bloomington Hospital,2651 East Discovery Parkway,Bloomington,IN,47408,Denzil Ross,(812)353-5252,
36,Hospital,Johnson Memorial Hospital,1125 W Jefferson St,Franklin,IN,46131,David Dunkle,(317)736-3300,
37,Hospital,Madison State Hospital,711 Green Rd,Madison,IN,47250,Peggy Stephens,(812)265-2611,
38,Hospital,Major Hospital,2451 Intelliplex Dr,Shelbyville,IN,46176,John Horner,(317)392-3211,
39,Hospital,Margaret Mary Health,321 Mitchell Ave,Batesville,IN,47006,Liz Leising,(812)934-6624,
40,Hospital,Medical Behavioral Hospital Of Indianapolis,1167 Wilson Dr,Greenwood,IN,46143,Greg Justice,(844)457-5300,
41,Hospital,Memorial Hospital And Health Care Center,800 W 9Th St,Jasper,IN,47546,Keith Miller,(812)996-2345,
42,Hospital,Monroe Hospital,4011 S Monroe Medical Park Blvd,Bloomington,IN,47403,Luis Leon,(812)825-1111,
43,Hospital,Norton Clark Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,Kathleen Exline,(812)283-2147,
44,Hospital,Norton Scott Hospital,1451 N Gardner St,Scottsburg,IN,47170,Kathleen Exline,(812)752-3456,
45,Hospital,Norton-King's Daughters' Health,1373 East Sr 62,Madison,IN,47250,Carol Dozier,(812)801-0105,
46,Hospital,Pam Health Rehabilitation Hospital Of Greater Indi,2101 Broadway Street,Clarksville,IN,47129,Waylon Maynard,(812)913-6880,
47,Hospital,Perry County Memorial Hospital,8885 Sr 237,Tell City,IN,47586,Jared Stimpson,(812)547-7011,
48,Hospital,Physicians' Medical Center Llc,4023 Reas Ln,New Albany,IN,47150,Dennis Medley,(812)206-7660,
49,Hospital,Rush Memorial Hospital,1300 N Main St,Rushville,IN,46173,Bradley Smith,(765)932-7513,
50,Hospital,Schneck Medical Center,411 W Tipton St,Seymour,IN,47274,Eric Fish,(812)522-2349,
51,Hospital,St Elizabeth Dearborn Hospital,600 Wilson Creek Rd,Lawrenceburg,IN,47025,Chris Carle,(812)497-7665,
52,Hospital,The Women's Hospital,4199 Gateway Blvd,Newburgh,IN,47630,Christina Ryan,(812)842-4200,
53,Hospital,Valle Vista Health System,898 E Main St,Greenwood,IN,46143,Kristen Primeau,(317)883-5300,
54,Hospital,Wellstone Regional Hospital,2700 Vissing Park Rd,Jeffersonville,IN,47130,Gregory Stewart,(812)284-8000,
55,Interim Care,Adec Inc,19816-3 Sr 120,Bristol,IN,46507,Donna Belusar,(574)848-7453,
56,Interim Care,"Arc Southwest Indiana, The",400 Mill St,Winslow,IN,47598,Stan Keepes,(812)386-6312,
57,Interim Care,Benchmark Human Services,9228 W Cr 950 N,Elizabethtown,IN,47232,Anne Titus,(260)744-6145,
58,Interim Care,Benchmark Human Services,9285 W Cr 950 N,Elizabethtown,IN,47232,Anne Titus,(260)744-6145,
59,Interim Care,Benchmark Human Services,2405 W County Road 200 North,North Vernon,IN,47265,Anne Titus,(260)744-6145,
60,Interim Care,Bi-County Services Inc,423 E Silver Street,Bluffton,IN,46714,Timothy Ramsey,(260)824-1253,
61,Interim Care,Blue River Services Inc,293 Summit View Drive,Corydon,IN,47112,Daniel Lowe,(812)738-4557,
62,Interim Care,Blue River Services Inc,281 Mcgrain St,Corydon,IN,47112,Daniel Lowe,(812)738-7904,
63,Interim Care,Blue River Services Inc,3607 Klerner Ln,New Albany,IN,47150,Daniel Lowe,(812)945-6781,
64,Interim Care,Community Alternatives Sw In,651 South 100 East,Washington,IN,47501,Amy Kelley,(812)352-6220,
65,Interim Care,Community Alternatives Sw In,4555 Elm Dr,Newburgh,IN,47630,Carissa Foster,(812)433-3535,
66,Interim Care,Community Alternatives Sw In,2745 Windemere Dr,Evansville,IN,47725,Carissa Foster,(812)433-3535,
67,Interim Care,Community Alternatives Sw In,525 S Skyview Dr,Jasper,IN,47546,Amy Kelley,(812)683-3798,
68,Interim Care,Community Alternatives Sw In,6611 Cheshire Dr,Newburgh,IN,47630,Carissa Foster,(812)433-3535,
69,Interim Care,Developmental Service Alternatives,314 W 13Th St,Anderson,IN,46016,Jeremy Bowser,(765)649-3198,
70,Interim Care,Developmental Service Alternatives,2326 Berwick Dr,Shelbyville,IN,46176,Jeremy Bowser,(317)398-0000,
71,Interim Care,Developmental Services Inc,3100 W Private Rd 385 N,North Vernon,IN,47265,Pamela Pace,(812)376-9404,
72,Interim Care,Developmental Services Inc,3839 Camelot Ln,Columbus,IN,47203,Pamela Pace,(812)376-9404,
73,Interim Care,Developmental Services Inc,4251 River Rd,Columbus,IN,47203,Pamela Pace,(812)376-9404,
74,Interim Care,Developmental Services Inc,426 E Montgomery Rd.,Greensburg,IN,47240,Pamela Pace,(812)376-9404,
75,Interim Care,Developmental Services Inc,830 Evergreen Drive,Seymour,IN,47274,Pamela Pace,(812)376-9404,
76,Interim Care,Developmental Services Inc,113 Jennings St,North Vernon,IN,47265,Pamela Pace,(812)376-9404,
77,Interim Care,Developmental Services Inc,583 Camelot Dr,Seymour,IN,47274,Pamela Pace,(812)376-9404,
78,Interim Care,Developmental Services Inc,339 W Jefferson St,Spencer,IN,47460,Steve Burton,(812)829-1833,
79,Interim Care,Developmental Services Inc,1922 Limestone Dr,Ellettsville,IN,47429,Steve Burton,(812)876-8721,
80,Interim Care,Developmental Services Inc,1826 S Covey Lane,Bloomington,IN,47401,Steve Burton,(812)332-9615,
81,Interim Care,In-Pact Inc,605 Sherwood Drive,Crown Point,IN,46307,Deanne Holmes,(219)662-1905,
82,Interim Care,Knox County Association For Remarkable Citizens,410 Liberty Street,Bicknell,IN,47512,Nash Dunn,(812)895-0059,
83,Interim Care,Normal Life Of Indiana,3000 Bailey Ln,Evansville,IN,47710,Carissa Foster,(812)433-3535,
84,Interim Care,Putnam County Comprehensive Services Inc,1222 Bloomington,Greencastle,IN,46135,Charles Schroeder,(765)653-9763,
85,Interim Care,Quality Community Services Inc,108 Altra Dr,Clarksville,IN,47129,Judy Brettsschneider,(812)285-8710,
86,Interim Care,Quality Community Services Inc,4 Sylvan Ln,Jeffersonville,IN,47130,Judy Brettsschneider,(812)282-7148,
87,Interim Care,Quality Community Services Inc,1620 Shelby Pl,New Albany,IN,47150,Judy Brettsschneider,(812)948-8183,
88,Interim Care,Rehabilitation Center Developmental Services,428 Cypress,Newburgh,IN,47630,M Kelley Schneider,(812)858-5238,
89,Interim Care,Rehabilitation Center Developmental Services,420 Fuquay Rd,Evansville,IN,47715,M Kelley Schneider,(812)473-1414,
90,Interim Care,Rem Occazio Llc,568 Yorktown Rd,Greenwood,IN,46142,Jacque Pulling,(317)887-6574,
91,Interim Care,Rem Occazio Llc,511 Country Club Ln,Anderson,IN,46015,Jacque Pulling,(765)643-9734,
92,Interim Care,Rem Occazio Llc,38 Ryan Dr,Trafalgar,IN,46181,Jacque Pulling,(317)878-5149,
93,Interim Care,Rem Occazio Llc,11 Gloria Dr,Trafalgar,IN,46181,Elizabeth Nelson,(317)878-4267,
94,Interim Care,Rem Occazio Llc,1015 S 14Th St,New Castle,IN,47362,Jacque Pulling,(765)529-8386,
95,Interim Care,Rem Occazio Llc,1650 E Jefferson St,Franklin,IN,46131,Jacque Pulling,(317)738-2343,
96,Interim Care,Rem Occazio Llc,699 Graham St Apts 2 & 8,Franklin,IN,46131,Elizabeth Nelson,(317)736-8990,
97,Interim Care,Rem-Indiana Inc,3201 Davis Road,Indianapolis,IN,46229,Jacque Pulling,(317)894-2091,
98,Interim Care,Rem-Indiana Inc,1406 W Tarkington Dr,Greensburg,IN,47240,Jacque Pulling,(812)662-8626,
99,Interim Care,Rem-Indiana Inc,82 Benny Ln,North Vernon,IN,47265,Jacque Pulling,(812)346-6858,
100,Interim Care,Res Care Community Alternatives Se In,402 Ewing Ln,Jeffersonville,IN,47130,Amy Kelley,(812)258-2370,
101,Interim Care,Res Care Community Alternatives Se In,154 Chad Dr,Versailles,IN,47042,Gega Sharp,(812)352-6220,
102,Interim Care,Res Care Community Alternatives Se In,3011 Apache Dr,Jeffersonville,IN,47130,Amy Kelley,(812)258-2370,
103,Interim Care,Res Care Community Alternatives Se In,2401 Cornwell Dr,Jeffersonville,IN,47130,Amy Kelley,(812)258-2370,
104,Interim Care,Res Care Community Alternatives Se In,13009 Horizon Dr,Memphis,IN,47143,Amy Kelley,(812)258-2370,
105,Interim Care,Res Care Community Alternatives Se In,115 Stonegate,Bedford,IN,47421,Mark Norris,(812)352-6220,
106,Interim Care,Res Care Community Alternatives Se In,1818 H St,Bedford,IN,47421,Mark Norris,(812)352-6220,
107,Interim Care,Res Care Community Alternatives Se In,1337 E Southview Ln,Paoli,IN,47454,Amy Kelley,(812)258-2370,
108,Interim Care,Res Care Community Alternatives Se In,427 W Longest St,Paoli,IN,47454,Amy Kelley,(812)258-2370,
109,Interim Care,Res Care Community Alternatives Se In,3607 Middle Rd,Jeffersonville,IN,47130,Amy Kelley,(812)258-2370,
110,Interim Care,Res Care Community Alternatives Se In,13711 Bennettsville Rd,Memphis,IN,47143,Amy Kelley,(812)258-2370,
111,Interim Care,Res Care Southeast Indiana,16611 Sima Gray Rd,Henryville,IN,47126,Amy Kelley,(812)294-1155,
112,Interim Care,Res Care Southeast Indiana,16609 Sima Gray Rd,Henryville,IN,47126,Amy Kelley,(812)294-3322,
113,Interim Care,Res Care Southeast Indiana,16613 Sima Gray Rd,Henryville,IN,47126,Amy Kelley,(812)258-2370,
114,Interim Care,Res-Care Inc,1306 S Bloomington Street,Greencastle,IN,46135,Michael Shepherd,(765)653-5738,
115,Interim Care,Residential Crf Inc,1725 W Country Club Rd,Connersville,IN,47331,Teresa Henderson,(765)825-5129,
116,Interim Care,Residential Crf Inc,311 N Dorsett Dr,Connersville,IN,47331,,(765)825-5129,
117,Interim Care,Residential Crf Inc,2375 W Us Hwy 36,Danville,IN,46122,Teresa Henderson,(765)825-5129,
118,Interim Care,Residential Crf Inc,100 Gray Rd,Connersville,IN,47331,Teresa Henderson,(765)825-5129,
119,Interim Care,Residential Crf Inc,1004 Ranch Rd,Connersville,IN,47331,Teresa Henderson,(765)825-5129,
120,Interim Care,Residential Crf Inc,3624 Grand Avenue,Connersville,IN,47331,,(765)825-5129,
121,Interim Care,Residential Crf Inc,6155 W 800 N,Fountaintown,IN,46130,Teresa Henderson,(765)825-5129,
122,Interim Care,Stone Belt Arc Inc,2228 35Th St,Bedford,IN,47421,Bitta Dewees,(812)275-4982,
123,Interim Care,Stone Belt Arc Inc,3502 Festive Dr,Bloomington,IN,47401,Bitta Dewees,(812)339-2031,
124,Interim Care,Stone Belt Arc Inc,1835 Maxwell St,Bloomington,IN,47401,Bitta Dewees,(812)332-7247,
125,Interim Care,Stone Belt Arc Inc,713 E Miller Dr,Bloomington,IN,47401,Bitta Dewees,(812)334-1241,
126,Interim Care,Stone Belt Arc Inc,4100 Deckard Dr,Bloomington,IN,47408,Bitta Dewees,(812)333-1526,
127,Interim Care,Stone Belt Arc Inc,214 E Southern Dr,Bloomington,IN,47401,Bitta Dewees,(812)332-9959,
128,Interim Care,Stone Belt Arc Inc,2606 H St,Bedford,IN,47421,Bitta Dewees,(812)278-8121,
129,Interim Care,Stone Belt Arc Inc,1118 22Nd St,Bedford,IN,47421,Bitta Dewees,(812)275-5176,
130,Interim Care,Stone Belt Arc Inc,1006 W 11Th St,Bloomington,IN,47404,Bitta Dewees,(812)337-0802,
131,Interim Care,Transitional Services Sub Llc,4812 W Sr 45,Bloomington,IN,47401,Jacque Pulling,(812)825-5038,
132,Interim Care,Transitional Services Sub Llc,701 Riley Blvd,Bedford,IN,47421,Jacque Pulling,(812)275-5071,
133,Interim Care,Transitional Services Sub Llc,369 W Washington St,Morgantown,IN,46160,Jacque Pulling,(812)597-4988,
134,Interim Care,Transitional Services Sub Llc,2944 Dietz St,Indianapolis,IN,46203,Jacque Pulling,(317)782-9892,
135,Interim Care,Voca Corporation Of Indiana,9 Summit Dr,Aurora,IN,47001,Gega Sharp,(812)352-6220,
136,Interim Care,Voca Corporation Of Indiana,6525 Mcfarland Rd,Indianapolis,IN,46227,Jeff Rubin,(317)359-2076,
137,Long Term Care,St Elizabeth Edgewood Snf,1 Medical Village Drive,Edgewood,KY,41017,Amy Thompson,(859)301-9980,"St. Elizabeth Medical Center, Inc."
138,Portable X-Ray Suppliers,St Elizabeth Healthcare - Edgewood Mobile Imaging,1 Medical Village Drive,Edgewood,KY,41017,Brian Drees,(859)301-3975,St. Elizabeth Healthcare
139,Long Term Care,Aperion Care Vincennes,"3801 Old Bruceville Road, Box 136",Vincennes,IN,47591,Dianna Strauser,(812)882-1783,
140,Sane Ready Hospitals,St. Elizabeth Edgewood,1 Medical Village Drive,Edgewood,KY,41017,Garren Colvin,859-301-2000,"St. Elizabeth Medical Center, Inc. "
141,Long Term Care,Villages At Historic Silvercrest The,1 Silvercrest Drive,New Albany,IN,47150,Stephanie Miller,(812)542-6720,
142,Long Term Care,Aspen Trace Health & Living Community,3154 South State Road 135,Greenwood,IN,46143,Emily Carnes,(317)535-3344,
143,Long Term Care,Autumn Woods Health Campus,2911 Green Valley Rd,New Albany,IN,47150,Brandy D'Angelo,(812)941-9893,
144,Long Term Care,Beech Grove Meadows,2002 Albany St,Beech Grove,IN,46107,Jeremiah Johnson,(317)783-2911,
145,Long Term Care,Fair Oaks Health And Rehabilitation,1 Sparks Avenue,Jamestown,KY,42629,Chelsea Conner,(270)343-2101,"Fair Oaks Health Systems, Llc"
146,Long Term Care,Bell Trace Health And Living Center,725 Bell Trace Circle,Bloomington,IN,47408,Kelsey Haislip,(812)323-2858,
147,Long Term Care,"Belmont Health & Rehabilitation, The",540 Belmont Drive,Columbus,IN,47201,Tyler Reed,(812)669-5500,
148,Nursing Home,Fair Oaks Health And Rehabilitation,1 Sparks Avenue,Jamestown,KY,42629,,(270)343-2101,
149,Long Term Care,Bertha D Garten Ketcham Memorial Center,601 E Race St,Odon,IN,47562,Matthew Millikan,(812)636-4920,
150,Long Term Care,Bethany Village,3518 S Shelby St,Indianapolis,IN,46227,Jennifer Voss,(317)783-4042,
151,Physician Office Laboratories,A A Seales Psc,10 Youell Street,Florence,KY,41042,,(859) 525-6730,
152,Physician Office Laboratories,"Womankind Midwifery, Pllc",10 Youell Street,Florence,KY,41042,,(859) 512-7472,
153,Long Term Care,Brickyard Healthcare - Bloomington Care Center,155 E Burks Dr,Bloomington,IN,47401,Zachary Wilson,(812)332-4437,
154,Long Term Care,Brickyard Healthcare - Churchman Care Center,2860 Churchman Ave,Indianapolis,IN,46203,Thomas Johnson,(317)787-3451,
155,Long Term Care,Brickyard Healthcare - Lincoln Hills Care Center,402 19Th Street,Tell City,IN,47586,Julie Pennington,(812)547-3427,
156,Long Term Care,Brickyard Healthcare - Petersburg Care Center,309 W Pike Ave,Petersburg,IN,47567,William Carr,(812)354-8833,
157,Long Term Care,Brickyard Healthcare - Twelfth Street Care Center,811 E 12Th Street,Mishawaka,IN,46544,Jennifer Neely,(574)259-1917,
158,Long Term Care,Brickyard Healthcare - Woodlands Care Center,4088 Frame Rd,Newburgh,IN,47630,Maribeth Donaldson,(812)853-9567,
159,Long Term Care,Carmel Manor,100 Carmel Manor Road,Fort Thomas,KY,41075,Jena Quinn-Sexton,(859)781-5111,Carmel Manor
160,Nursing Home,Carmel Manor,100 Carmel Manor Road,Fort Thomas,KY,41075,,(859)781-5111,
161,Assisted Living Communities,Walkers Trail Senior Living,100 Davco Drive,Danville,KY,40422,,(859) 236-5383,
162,Physician Office Laboratories,Lexington Clinic Ct  Lce,100 N Eagle Creek Dr,Lexington,KY,40509,,(859) 258-4076,
163,Physician Office Laboratories,Lexington Clinic East-Family Practice,100 N Eagle Creek Dr,Lexington,KY,40509,,(606) 258-4000,
164,Physician Office Laboratories,Lexington Clinic East-Internal Medicine,100 N Eagle Creek Dr,Lexington,KY,40509,,(859) 258-5353,
165,Assisted Living Communities,Cedarhurst Of East Louisville,100 Shelby Station Drive,Louisville,KY,40245,Michael Lafountain Jr,(502) 632-5500,
166,Long Term Care,Nicholasville Nursing & Rehabilitation,100 Sparks Avenue,Nicholasville,KY,40356,Tracy  Boulware,(859)885-4171,"Nicholasville Nursing And Rehabilitation, Llc"
167,Long Term Care,Chalet Rehabilitation And Healthcare Center,4851 Tincher Rd,Indianapolis,IN,46221,Tanequa Footman,(317)856-4851,
168,Long Term Care,Radcliff Veterans Center,100 Veterans Drive,Radcliff,KY,40160,Lanetta Popplewell,(270) 352-6700,Ky Department Of Veterans Affairs
169,Long Term Care,Thomson-Hood Veterans Center,100 Veterans Drive,Wilmore,KY,40390,Joni Gosser,(859)858-2814,Commonwealth Of Kentucky
170,Long Term Care,Clark Rehabilitation And Skilled Nursing Center,517 N Little League Blvd,Clarksville,IN,47129,Holly Northam,(812)282-8406,
171,Long Term Care,Clarksville Senior Living Llc,400 Hunter Station Road,Sellersburg,IN,47172,Kathy Jones,(812)748-5258,
172,Long Term Care,Colonial Nursing Home,119 N Indiana Ave,Crown Point,IN,46307,Jennifer Short,(219)663-2532,
173,Long Term Care,Compass Park,800 Freemason Parkway,Franklin,IN,46131,William Pierce,(317)736-6141,
174,Long Term Care,Core Of Dale,510 W Medcalf Road,Dale,IN,47523,Charles Brazzell,(812)937-7073,
175,Long Term Care,Cypress Grove Rehabilitation Center,4255 Medwell Dr,Newburgh,IN,47630,Brandon Burns,(812)853-2993,
176,Assisted Living Communities,The Meadows At Windsor Gardens,100 Windsor Path,Georgetown,KY,40324,Lisa Shine,(502) 570-0540,
177,Assisted Living Communities,Windsor Gardens Of Georgetown,100 Windsor Path,Georgetown,KY,40324,Dutin Downs,(502) 570-0540,
178,Long Term Care,Envive Of Lawrenceburg,403 Bielby Rd,Lawrenceburg,IN,47025,Keith Mckee,(812)537-1132,
179,Long Term Care,Envive Of Muncie,7524 E Jackson Street,Muncie,IN,47302,Roberta Scott,(765)747-7820,
180,Long Term Care,"Waters Of Georgetown, The",1002 Sister Barbara Way,Georgetown,IN,47122,Meredith Eder,(812)940-5100,
181,Long Term Care,Fairway Village,2630 S Keystone Ave,Indianapolis,IN,46203,Patrick Ngene,(317)787-8951,
182,Long Term Care,Forest Creek Village,525 E Thompson Rd,Indianapolis,IN,46227,Neha Patel,(317)787-8253,
183,Long Term Care,Hardinsburg Nursing And Rehabilitation Center,101 Fairgrounds Road,Hardinsburg,KY,40143,Joseph Vance,(270)756-2159,"Hardinsburg Health Center, Llc"
184,Long Term Care,Franklin Meadows,1285 W Jefferson St,Franklin,IN,46131,Jason Kennedy,(317)736-9113,
185,Long Term Care,Freelandville Community Home,310 W Carlisle Street,Freelandville,IN,47535,Shannon Graves,(812)328-2134,
186,Assisted Living Communities,The Home Place At Midway,101 Sexton Way,Midway,KY,40347,Tonya Cox,(859) 846-4663,
187,Long Term Care,Grand Valley Health & Rehab,621 Grand Valley Boulevard,Martinsville,IN,46151,Chelsea Frederick,(765)342-7114,
188,Long Term Care,Green Valley Care Center,3118 Green Valley Rd,New Albany,IN,47150,Gregory Dattilo,(812)945-2341,
189,Long Term Care,Greenfield Healthcare Center,200 Green Meadows Dr,Greenfield,IN,46140,Andrew Clark,(317)462-3311,
190,Long Term Care,Greenwood Health And Living Community,937 Fry Rd,Greenwood,IN,46142,Dorian Mihay,(317)881-3535,
191,Long Term Care,Greenwood Healthcare Center,377 Westridge Blvd,Greenwood,IN,46142,Linda Turner,(317)888-4948,
192,Long Term Care,Greenwood Meadows,1200 N State Road 135,Greenwood,IN,46142,Laura Dyer,(317)300-2200,
193,Long Term Care,Hawthorne Healthcare Center,7465 Madison Ave,Indianapolis,IN,46227,Jakob Barbour,(317)788-3000,
194,Private Duty Nursing,"Nurses Registry, Inc",101 Venture Court,Lexington,KY,40511,Vicki House,(859)259-9687,"Nr, Inc."
195,Critical Access Hospital,Breckinridge Memorial Hospital,1011 Old Highway 60,Hardinsburg,KY,40143,Angela Portman,(270) 756-7000,"Breckinridge Health, Inc."
196,Long Term Care,Breckinridge Memorial Nursing Facility,1011 Old Highway 60,Hardinsburg,KY,40143,Angela Portman,(270)756-7000,"Breckinridge Health, Inc."
197,Long Term Care,Heritage House Rehabilitation & Health Care Center,281 S County Road 200 East,Connersville,IN,47331,Stacey Ware,(765)825-2148,
198,Nursing Home,Breckinridge Memorial Nursing Facility,1011 Old Highway 60,Hardinsburg,KY,40143,,(270)756-6578,
199,Long Term Care,Richwood Nursing & Rehab,1012 Richwood Way,La Grange,KY,40031,Blair Einfeldt,(502)222-3186,"Richwoodidence Opco, Llc "
200,Long Term Care,Hickory Creek At Franklin,580 Lemley Street,Franklin,IN,46131,Tracie Oldham,(317)736-8214,
201,Long Term Care,Hickory Creek At Greensburg,1620 N Lincoln St,Greensburg,IN,47240,Brooke Thies,(812)663-7503,
202,Long Term Care,Hickory Creek At Madison,1945 Cragmont St,Madison,IN,47250,Markietta Burns,(812)273-4696,
203,Long Term Care,Hillcrest Village,203 Sparks Ave,Jeffersonville,IN,47130,Mark Bowman,(812)283-7918,
204,Long Term Care,Homeview Center Of Franklin,651 South State Street,Franklin,IN,46131,Mark Gavorski,(317)736-6414,
205,Long Term Care,Hutsonwood At Brazil,501 S Murphy Ave,Brazil,IN,47834,Manoj Berry,(812)446-2636,
206,Long Term Care,Indian Creek Healthcare Center,240 Beechmont Dr,Corydon,IN,47112,Rodney Jackson,(812)738-8127,
207,Long Term Care,Lake Pointe Village,545 W Moonglo Rd,Scottsburg,IN,47170,Richey Barton,(812)752-3499,
208,Long Term Care,Lincoln Hills Of New Albany,326 Country Club Drive,New Albany,IN,47150,Kimberly Povinelli,(812)948-1311,
209,Long Term Care,Cedarhurst Of Newburgh,10144 Warrick Trail,Newburgh,IN,47630,Kaylee Binkley,(812)518-0076,
210,Long Term Care,Majestic Care Of Bedford,2111 Norton Ln,Bedford,IN,47421,Scott Swaby,(812)277-3730,
211,Long Term Care,Majestic Care Of Bloomington,1100 S Curry Pk,Bloomington,IN,47403,Warren Mccreery,(812)339-1657,
212,Long Term Care,Majestic Care Of Newburgh,5233 Rosebud Lane,Newburgh,IN,47630,Brandi Thompson,(812)473-4761,
213,Long Term Care,Majestic Care Of Southport,8549 S Madison Ave,Indianapolis,IN,46227,Brocton Bennett,(317)881-9164,
214,Long Term Care,Mccormick's Creek Rehabilitation And Healthcare,210 State Hwy 43,Spencer,IN,47460,Sara Mitchell,(812)829-3444,
215,Long Term Care,Meadow View Health And Rehabilitation,900 Anson St,Salem,IN,47167,Krista Smith,(812)883-4681,
216,Long Term Care,Miller's Merry Manor,1630 S County Farm Rd,Warsaw,IN,46580,Hillary Corbitt,(574)267-8196,
217,Long Term Care,Miller's Merry Manor,7440 N County Road 825 E,Hope,IN,47246,Alexa Robbins,(812)546-4416,
218,Long Term Care,Miller's Merry Manor,259 W Harrison St,Mooresville,IN,46158,Natalie Peterson,(317)831-6272,
219,Long Term Care,Mitchell Manor,24 Teke Burton Dr,Mitchell,IN,47446,Katherine Hignite Owens,(812)849-2221,
220,Long Term Care,Morgantown Woods Of Journey,140 W Washington St,Morgantown,IN,46160,Phil Ford,(812)597-4418,
221,Long Term Care,Chestnut Ridge Health & Rehabilitation,1015 West Magazine Street,Louisville,KY,40203,Sherita Autrey,(502)815-6460,Chestnut Snf Operations Llc
222,Long Term Care,Newburgh Health Care,10466 Pollack Ave,Newburgh,IN,47630,Ally Lopp,(812)853-2931,
