INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,PHONE,ADMINISTRATOR,OWNER,LICENSE_NO,LICENSE_EXPIRATION,BEDS,long,lat
10,Alcohol And Drug Prevention,New Hope Community Services And Epic Behavioral He,"906 Highway 68, Suite C",Maysville,KY,41056,(606) 584-7055,Robin Kilgore,"Nhcs Holdings, Llc",840026,06/30/2026,N/A,-83.78000548,38.64311899
11,Alcohol And Drug Prevention,"New Vista Of The Bluegrass, Inc Prevention",1351 Newtown Pike,Lexington,KY,40511,(859) 253-1686,Dee Werline,"New Vista Of The Bluegrass, Inc.",840008,03/31/2026,N/A,-84.49220056,38.08184397
12,Alcohol And Drug Prevention,North Key Community Care Regional Prevention Ctr,502 Farrell Drive,Covington,KY,41011,(859) 578-3200,Owen Nichols,"Northern Ky Mh/Mr Regional Board, Inc.",840006,01/31/2026,N/A,-84.5291102,39.0494825
13,Alcohol And Drug Prevention,Pennyroyal Regional Prevention Center,607 Hammond Plaza,Hopkinsville,KY,42240,(270) 886-0486,Joe Beavers,"Lifeskills, Inc.",840007,03/31/2026,N/A,-87.47701434,36.82810315
14,Alcohol And Drug Prevention,"Prevention Lifeskills, Inc",380 Suwannee Trail,Bowling Green,KY,42102,(270) 901-5000,Kaitlyn Slaughter,"Lifeskills, Inc.",840010,06/30/2026,N/A,-86.3980969,36.9665585
15,Alcohol And Drug Prevention,Regional Prevention Center,2610 Oakview Road,Ashland,KY,41101,(606) 329-8588,Jennifer Willis,"Pathways, Inc.",840016,02/28/2026,N/A,-82.64954444,38.45931942
16,Alcohol And Drug Prevention,Rivervalley Behavioral Health,1100 Walnut Street,Owensboro,KY,42301,(270) 689-6500,Wanda Figueroa-Peralta,"Green River Regional Mh/Mr Board, Inc.",840013,07/31/2026,N/A,-87.1174337,37.7652455
17,Alcohol And Drug Prevention,"Seven Counties Services, Inc","10401 Linn Station Road, Suite 100",Louisville,KY,40223,(502) 589-8600,Susan Rittenhouse,"Seven Counties Services, Inc.",840003,03/31/2026,N/A,-85.56374753,38.22458287
18,Assisted Living Communities,All About Home With Heart,160 Lawrence St,Brandenburg,KY,40108,(270) 422-2279,Crystal Moody,N/A,101395,Pending Renewal,0,-86.17126784,38.00237324
19,Assisted Living Communities,Amber Oaks,156 Haven Hill Rd,Shelbyville,KY,40065,(502) 647-4546,Dean Windsor,N/A,101453,Pending Renewal,0,-85.25501341,38.2144622
20,Assisted Living Communities,Arcadia Senior Living Louisville,901 Blankenbaker Parkway,Louisville,KY,40243,(502) 357-7030,Michele Davis,N/A,100947,Pending Renewal,99,-85.54141871,38.22866444
21,Assisted Living Communities,Arcadia Senior Living Louisville,901 Blankenbaker Parkway,Louisville,KY,40243,(502) 244-4244,,N/A,101598,06/30/2026,0,-85.54141871,38.22866444
22,Assisted Living Communities,Arcadia Senior Living Of Bowling Green,618 Lovers Ln,Bowling Green,KY,42103,(270) 495-4504,Cadie Gray,N/A,101422,06/30/2026,0,-86.40740311,36.96510067
23,Assisted Living Communities,Arcadia Senior Living Of Bowling Green,618 Lovers Lane,Bowling Green,KY,42103,(270) 495-4504,,N/A,101593,05/29/2026,0,-86.40740311,36.96510067
24,Assisted Living Communities,Arcadian Cove,532 Cady Dr,Richmond,KY,40475,(859) 624-0022,Mathew Lawson,N/A,101456,Pending Renewal,0,-84.2770881,37.70531709
25,Assisted Living Communities,Ashton Grove Senior Living,115 Ashton Grove Path,Georgetown,KY,40324,(502) 570-9222,Kristi Peters,N/A,101512,Pending Renewal,0,-84.5661152,38.1812063
26,Assisted Living Communities,Ashton Grove Senior Living,115 Ashton Grove Path,Georgetown,KY,40324,(502) 570-9222,Kristi Peters,N/A,101396,Pending Renewal,0,-84.5661152,38.1812063
27,Assisted Living Communities,Barkley Plantation Assisted Living,640 Bypass Rd,Cadiz,KY,42211,(270) 522-0018,Clara Beth Hyde,N/A,101457,Pending Renewal,0,-87.80265752,36.86086884
28,Assisted Living Communities,Barrington At Fort Thomas,940 Highland Ave,Fort Thomas,KY,41075,(859) 572-0667,Julie Lehmann,N/A,101458,Pending Renewal,0,-84.46586404,39.07326961
29,Assisted Living Communities,Barton House Of Louisville #1,6830 Overlook Dr,Louisville,KY,40241,(502) 423-7177,,N/A,101569,Pending Renewal,0,-85.62537511,38.29498871
30,Assisted Living Communities,Bee Hive Home Of Brandenburg,103 Commerce Dr,Brandenburg,KY,40108,(270) 422-7990,Shannon Henerson,N/A,101397,Pending Renewal,0,-86.19143413,37.99779391
31,Assisted Living Communities,Bee Hive Home Of Goshen,12336 Us Hwy 42,Goshen,KY,40026,(502) 292-3200,Jody Barksdale,N/A,101460,Pending Renewal,0,-85.58115343,38.39333232
32,Assisted Living Communities,Bee Hive Home Of Leitchfield,1417 Brandenburg Rd,Leitchfield,KY,42754,(270) 681-6760,Mary Nell Bouvier,N/A,101398,Pending Renewal,0,-86.29203573,37.49769154
33,Assisted Living Communities,Bee Hive Home Of Lyndon,8401 Lagrange Rd,Louisville,KY,40222,(502) 694-2956,Linda Dawson,N/A,101423,Pending Renewal,0,-85.5138636,38.2883418
34,Assisted Living Communities,Bee Hive Home Of Smyrna,8800 Smyrna Parkway ,Louisville,KY,40228,(502) 966-9771,Cheryl Spade,N/A,101399,Pending Renewal,0,-85.64332162,38.12167654
35,Assisted Living Communities,Bee Hive Home Of Smyrna Memory Care,8800 Smyrna Pkwy,Louisville,KY,40228,(502) 966-6129,Cheryl Spade,N/A,101400,Pending Renewal,0,-85.64332162,38.12167654
36,Assisted Living Communities,Beehive Homes Of Taylorsville,164 Industrail Rd,Taylorsville,KY,40071,(502) 654-8879,Adrianna Marshall,N/A,101541,06/30/2026,0,-85.34089071592797,-85.34089071592797
37,Assisted Living Communities,Belmont Village,4600 Bowling Blvd,Louisville,KY,40207,(502) 721-7500,,N/A,101570,Pending Renewal,0,-85.62972689,38.24121941
38,Assisted Living Communities,Belmont Village,4600 Bowling Boulevard,Louisville,KY,40207,(502) 721-7500,Theodore Burfict,N/A,101570,Pending Renewal,128,-85.62972689,38.24121941
39,Assisted Living Communities,Bluegrass Assisted Living Bardstown,107 Thruway Dr ,Bardstown,KY,40004,(502) 349-2026,Samantha Mudd,N/A,101402,03/01/2026,0,-85.41067794,37.83166716
40,Assisted Living Communities,Bluegrass Assisted Living Bardstown,107 Thurway Dr,Bardstown,KY,40004,(502) 349-2026,,N/A,101458,Pending Renewal,0,-85.41067794,37.83166716
41,Assisted Living Communities,Bluegrass Assisted Living Elizabethown,1108 Regency Way ,Elizabethtown,KY,42701,(270) 234-9440,Jimmy Justice,N/A,101401,Pending Renewal,0,-85.83648362,37.71764223
42,Assisted Living Communities,"Bluegrass Senior Living Somerset, Llc",145 Tower Circle,Somerset,KY,42503,(606) 679-4578,Stephanie Edwards,N/A,101338,Pending Renewal,72,-84.62683393,37.08252389
43,Assisted Living Communities,Bluegrass Way Senior Living,100 Garden Way,Campbellsville,KY,42718,(270) 789-1200,Keri Young,N/A,101424,Pending Renewal,0,-85.330363,-85.330363
44,Assisted Living Communities,Bluegrass Way Senior Living,100 Garden Way ,Campbellsville,KY,42718,(270) 789-1200,,N/A,101424,Pending Renewal,0,-85.330363,-85.330363
45,Assisted Living Communities,Boonesboro Trail Senior Living,2101 Boonesboro Road,Winchester,KY,40391,(859) 236-9466,Katharina Mitchell,N/A,101510,Pending Renewal,83,-84.20191434,37.97071272
46,Assisted Living Communities,Boonesboro Trail Senior Living,2101 Boonesboro Rd,Winchester,KY,40391,(859) 236-6964,Katharina Mitchell,N/A,,06/30/2026,0,-84.20191434,37.97071272
47,Assisted Living Communities,Breckinridge Place,170 Sykes Blvd,Morganfield,KY,42437,(270) 389-1133,Nicole Kelley,N/A,101403,Pending Renewal,0,-87.86541644,37.69513421
48,Assisted Living Communities,Bridge Point At Village Manor,1800 Westen Street,Bowling Green,KY,42104,(270) 796-6643,,N/A,101551,Pending Renewal,0,-86.44943904,36.96290648
49,Assisted Living Communities,Bridge Point At Village Manor,1800 Westen Street,Bowling Green,KY,42104,(270) 796-6643,Chris Minnich,N/A,100691,Pending Renewal,54,-86.44943904,36.96290648
50,Assisted Living Communities,Bridgepointe At Ashgrove Woods,5220 Grey Oak Lane,Nicholasville,KY,40356,(859) 971-4902,Denise Caton,N/A,101175,Pending Renewal,70,-84.52057498,37.95517258
51,Assisted Living Communities,Bridgepointe At Ashgrove Woods,5220 Grey Oak Ln,Nicholasville,KY,40356,(859) 971-4910,Denise Caton,N/A,101549,Pending Renewal,0,-84.52057498,37.95517258
52,Assisted Living Communities,Brookdale Murray,905 Glendale Rd,Murray,KY,42071,(270) 759-1555,Stepahnie Edwards,N/A,101461,06/30/2026,0,-88.3107414,36.59547485
53,Assisted Living Communities,Brookdale Stonestreet,9251 Stonestreet Road,Louisville,KY,40272,(502) 935-5884,Clifton Lake,N/A,101104,Pending Renewal,20,-85.84660758,38.11945564
54,Assisted Living Communities,Calumet Trace Senior Living,3050 Calumet Trace,Owensboro,KY,42303,(270) 620-1005,Wanda Palumbo,N/A,101387,Pending Renewal,0,-87.0663283,37.7620348
55,Assisted Living Communities,Calumet Trace Senior Livng,3050 Calument Trace ,Owensboro,KY,42303,(270) 620-1005,Wanda Palumbo,N/A,101519,Pending Renewal,0,-87.06632831718107,-87.06632831718107
56,Assisted Living Communities,Cardinal Landing Memory Care,1310 Campbell Ln,Bowling Green,KY,42104,(270) 599-0360,Thesesa Mcfarlin,N/A,101425,Pending Renewal,0,-86.44745558,36.95698895
57,Assisted Living Communities,Carriage Hall Assisted Living,313 Cool Water Ct,Hopkinsville,KY,42240,(270) 707-3400,Todd Mcgee,N/A,101462,Pending Renewal,0,-87.50518896,36.82503495
58,Assisted Living Communities,Cedar Creek Assisted Living,156 Winston Dr,Pikeville,KY,41501,(606) 432-8243,Chelsi Hamilton,N/A,101463,Pending Renewal,0,-82.5654487,37.47704081
59,Assisted Living Communities,Cedar Ridge Health Campus,1217 Us Highway 62 E,Cynthiana,KY,41031,(859) 234-2702,Brittany Faucher,N/A,100751,Pending Renewal,39,-84.32997016,38.3578522
60,Assisted Living Communities,Cedarhurst Of Beaumont,1165 Monarch Street,Lexington,KY,40513,(859) 335-7980,Amy Abshire,N/A,101271,Pending Renewal,130,-84.55908472,38.01816132
61,Assisted Living Communities,Cedarhurst Of Beaumont,1165 Monarch St,Lexington,KY,40513,(859) 335-7980,,N/A,101531,Pending Renewal,0,-84.55908472,38.01816132
62,Assisted Living Communities,Cedarhurst Of East Louisville,100 Shelby Station Drive,Louisville,KY,40245,(502) 632-5500,Michael Lafountain Jr,N/A,101153,Pending Renewal,102,-85.49028007,38.23924362
63,Assisted Living Communities,Cedarhurst Of East Louisville,100 Shelby Station Drive,Louisville,KY,40245,(502) 632-5500,Michael Lafountain,N/A,101457,09/30/2027,0,-85.49028007,38.23924362
64,Assisted Living Communities,Cedarhurst Of Nicholasville,1600 Nicholasville Bypass,Nicholasville,KY,40356,(859) 241-3343,Lori Cooper,N/A,101358,Pending Renewal,90,-84.5908428,37.88896299
65,Assisted Living Communities,Cedarhurst Of Nicholasville,1600 Nicholasville Bypass,Nicholasville,KY,40356,(859) 241-3344,Lori Cooper,N/A,101532,Pending Renewal,0,-84.5908428,37.88896299
66,Assisted Living Communities,Cedarhurst Of Owensboro,1900 Pleasant Valley Road,Owensboro,KY,42303,(270) 276-1601,Winter Stelmach,N/A,101354,Pending Renewal,90,-87.06327365,37.76902406
67,Assisted Living Communities,Cedarhurst Of Owensboro,1900 Pleasant Valley Rd,Owensboro,KY,42301,(270) 276-1601,,N/A,101533,Pending Renewal,0,-87.06327365,37.76902406
68,Assisted Living Communities,Celebration Villa Of Highlands Crossing,400 Farrell Dr,Covington,KY,41011,(859) 341-0777,Gab Boyce,N/A,101464,Pending Renewal,0,-84.52339985,39.04821367
69,Assisted Living Communities,Celebration Villa Of Summit Hills,2625 Legends Way,Covington,KY,41017,(859) 331-5951,,N/A,101561,06/30/2026,0,-84.55977632,39.01843244
70,Assisted Living Communities,Celebration Villa Of Summit Hills,2625 Legends Way ,Covington,KY,41017,(859) 331-5951,Christina Newman,N/A,101465,06/30/2026,0,-84.55977632,39.01843244
71,Assisted Living Communities,Chandler Park Assisted Living,2643 Chandler Dr,Bowling Green,KY,42104,(270) 842-2626,Theresa Mcfarlin,N/A,101426,Pending Renewal,0,-86.43104166,36.94483575
72,Assisted Living Communities,Charter Senior Living Of Bowling Green,445 Middle Bridge Road,Bowling Green,KY,42103,(270) 842-5433,Jim Britt,N/A,101453,Pending Renewal,0,-86.41431898,36.95087861
73,Assisted Living Communities,Charter Senior Living Of Hopkinsville,1595 Marie Drive,Hopkinsville,KY,42240,(270) 962-2462,Keri Garrett,N/A,101385,Pending Renewal,104,-87.47456922,36.83985541
74,Assisted Living Communities,Charter Senior Living Of Hopkinsville,1595 Marie Drive ,Hopkinsville,KY,42240,(270) 962-2462,Keri Garrett,N/A,101523,09/12/2026,0,-87.47456922,36.83985541
75,Assisted Living Communities,Charter Senior Living Of Murray,1169 Robertson Rd South,Murray,KY,42071,(270) 638-6710,,N/A,101596,06/06/2026,0,-88.35227549,36.58872428
76,Assisted Living Communities,Charter Senior Living Of Murray,1169 Robertson Road ,Coldwater,KY,42071,(270) 638-6700,,N/A,101595,Pending Renewal,0,-88.24107203554402,-88.24107203554402
77,Assisted Living Communities,Charter Senior Living Of Paducah,2201 New Holt Road,Paducah,KY,42001,(270) 908-2201,Karen Ferrara,N/A,101521,09/09/2026,0,-88.69559515,37.05975732
78,Assisted Living Communities,Charter Senior Living Of Paducah,2201 New Holt Road,Paducah,KY,42001,(270) 908-2201,Karen Ferrara,N/A,101388,Pending Renewal,0,-88.69559515,37.05975732
79,Assisted Living Communities,Christian Care Communities Middletown,11530 Herrick Lane,Louisville,KY,40243,(502) 254-1799,Cliff Whalin,N/A,101483,Pending Renewal,0,-85.54307283,38.23930601
80,Assisted Living Communities,Colonial Heights Senior Living,6910 Hopeful Road,Florence,KY,41042,(859) 525-6900,April Scroggins,N/A,100945,Pending Renewal,80,-84.6616395,38.99358787
81,Assisted Living Communities,Cooper Trail Senior Living,325 Lincoln Way,Bardstown,KY,40004,(502) 572-4329,Nikki Thelen,N/A,101366,06/30/2026,83,-85.4770068,37.8278713
82,Assisted Living Communities,Cooper Trail Senior Living,325 Lincoln Way,Bardstown,KY,40004,(502) 222-3456,,N/A,101542,06/30/2026,0,-85.4770068,37.8278713
83,Assisted Living Communities,Countryside Meadows,640 Jericho Rd,La Grange,KY,40031,(502) 225-6810,Shawn Zamir,N/A,101407,Pending Renewal,0,-85.36845938,38.40995193
84,Assisted Living Communities,Creekside On Bardstown,3535 Bardstown Rd ,Louisville,KY,40205,(502) 553-7784,Jennifer Moran,N/A,101408,Pending Renewal,0,-85.66331805,38.20147757
85,Assisted Living Communities,Creekside On Bardstown,3535 Bardstown Rd,Buechel,KY,40218,(502) 919-7715,,N/A,101600,06/10/2026,0,-85.66331805,38.20147757
86,Assisted Living Communities,Creekside On Whipps Mill,9701 Whipps Mill Rd,Louisville,KY,40223,(502) 919-8470,Jennifer Moran,N/A,101427,Pending Renewal,0,-85.57397692,38.27087946
87,Assisted Living Communities,Creekside On Whipps Mill,9701 Whipps Mill Rd,Louisville,KY,40223,(502) 919-8470,,N/A,101599,06/10/2026,0,-85.57397692,38.27087946
88,Assisted Living Communities,Crescent Place Assisted Living,148 Allen Dr,Shelbyville,KY,40065,(502) 633-6622,Georgina Ivers,N/A,101466,Pending Renewal,0,-85.25148365,38.21437591
89,Assisted Living Communities,Daisy Hill Senior Living,101 Crossfield Dr,Versailles,KY,40383,(859) 753-2000,Laurie Dorough,N/A,101409,Pending Renewal,0,-84.7156717,38.05408456
90,Assisted Living Communities,Daisy Hill Senior Living,1001 Crossfield Drive,Versailles,KY,40383,(859) 753-2000,Laurie Dorough,N/A,101340,Pending Renewal,24,-84.71800466,38.05272064
91,Assisted Living Communities,Dogwood Estates,949 W 7Th Street,Beaver Dam,KY,42320,(270) 274-5700,Jimmy Hepner,N/A,101468,06/30/2026,0,-86.8872445,37.40744443
92,Assisted Living Communities,Dogwood Retreat,35 Clarview Dr,Hartford,KY,42347,(270) 298-3936,Kathy Bevil,N/A,101468,Pending Renewal,0,-86.92200847,37.47425965
93,Assisted Living Communities,Dominion Senior Living Of Florence,4009 Seligman Drive,Florence,KY,41042,(859) 594-9970,Jackie Smith,N/A,101318,Pending Renewal,84,-84.65432526,39.00905544
94,Assisted Living Communities,Dominion Senior Living Of Florence,4012 Seligman Dr,Devon,KY,41042,(859) 594-9970,,N/A,,Pending Renewal,0,-84.65417093,39.00912843
95,Assisted Living Communities,Dominion Senior Living Of Frankfort,122 Leonardwood Dr,Frankfort,KY,40601,(502) 682-9987,,N/A,101585,Pending Renewal,0,-84.9022223,38.1610276
96,Assisted Living Communities,Dominion Senior Living Of Frankfort,122 Leonardwood Dr,Frankfort,KY,40601,(502) 892-0819,Angie Dunn,N/A,101301,Pending Renewal,84,-84.9022223,38.1610276
97,Assisted Living Communities,Dominion Senior Living Of Louisville,6000 Hunting Road,Louisville,KY,40222,(502) 812-1556,Dana Boblitt,N/A,101353,Pending Renewal,80,-85.63859492,38.28389192
98,Assisted Living Communities,Dominion Senior Living Of Richmond,200 Meridian Way,Richmond,KY,40475,(859) 353-6777,Donna Agee,N/A,101283,Pending Renewal,84,-84.33484198,37.73170526
99,Assisted Living Communities,Everlan Of Louisville,5900 Hunting Rd,Louisville,KY,40222,(502) 812-1558,Mike Lafountain,N/A,101410,Pending Renewal,0,-85.63783086,38.2827149
100,Assisted Living Communities,Fairview Place Senior Living,433 Floyd Dr,Carrollton,KY,41008,(502) 732-7677,Allie Wilson,N/A,101411,Pending Renewal,0,-85.13059542,38.66000556
101,Assisted Living Communities,Fern Terra Of Owensboro,1415 W 1St St,Owensboro,KY,42301,(270) 926-2345,Amy Payne,N/A,101412,Pending Renewal,0,-87.12660214,37.7751779
102,Assisted Living Communities,Fields Of Florence,212 Main St,Devon,KY,41042,(859) 795-0302,Kristy Davenport,N/A,101515,Pending Renewal,0,-84.62276878,39.00365147
103,Assisted Living Communities,Fields Of Florence,212 Main Street,Devon,KY,41042,(502) 512-6268,,N/A,101576,Pending Renewal,0,-84.62276878,39.00365147
104,Assisted Living Communities,Forest Hills Commons,9107 Taylorsville Road,Louisville,KY,40299,(502) 499-5533,Katie Alexander,N/A,101270,Pending Renewal,144,-85.58830674,38.21335974
105,Assisted Living Communities,Forest Springs Health  Campus,4120 Wooded Acre Lane ,Louisville,KY,40245,(502) 243-1643,,N/A,101538,Pending Renewal,0,-85.50942538,38.29697607
106,Assisted Living Communities,Forest Springs Health Campus,4120 Wooded Acre Lane,Louisville,KY,40245,(502) 243-1643,Lawrence Reed,N/A,101222,Pending Renewal,37,-85.50942538,38.29697607
107,Assisted Living Communities,Franciscan Health Care Assisted Living,3625 Fern Valley Rd,Louisville,KY,40219,(502) 964-3381,Abdoulie Cham,N/A,101469,Pending Renewal,0,-85.69645,38.15708246
108,Assisted Living Communities,Friendship Towers,580 Greenfield Dr,Lexington,KY,40517,(859) 271-9001,Karen Venis,N/A,101470,Pending Renewal,0,-84.50519799,37.97332097
109,Assisted Living Communities,Gaither Suites At West Park,4960 Village Square Drive,Paducah,KY,42001,(270) 442-3999,Jennifer Gish,N/A,100887,Pending Renewal,29,-88.69434744,37.07063462
110,Assisted Living Communities,Glen Ridge Health Campus,6415 Calm River Way,Louisville,KY,40299,(502) 297-8590,Marty Hawkins,N/A,100729,Pending Renewal,26,-85.54978211,38.15184965
111,Assisted Living Communities,Grove Pointe,230 Masonic Home Dr,Masonic Home,KY,40041,(502) 340-2280,Aaron James,N/A,101414,Pending Renewal,0,-85.66220944,38.25358349
112,Assisted Living Communities,Harmony At Tucker Station,12523 Taylorsville Road,Louisville,KY,40299,(502) 694-4600,Chris Peterson,N/A,101356,Pending Renewal,102,-85.52286277,38.18719081
113,Assisted Living Communities,Harmony At Tucker Station,12523 Taylorsville Rd,Jeffersontown,KY,40299,(502) 694-4600,,N/A,101594,05/29/2026,0,-85.52286277,38.18719081
114,Assisted Living Communities,Hickory Woods Retirement Center,84 Uttercak Rd,Murray,KY,42071,(270) 759-8700,Annita Peeler,N/A,101472,Pending Renewal,0,-88.31688064627441,-88.31688064627441
115,Assisted Living Communities,Highgrove At Tates Creek,4251 Saron Dr,Lexington,KY,40515,(859) 245-0100,Chasity Paris,N/A,101473,Pending Renewal,0,-84.5015897,37.96545968
116,Assisted Living Communities,Highgrove At Tates Creek,4251 Saron Dr,Lexington,KY,40515,(859) 245-0100,,N/A,101511,Pending Renewal,0,-84.5015897,37.96545968
117,Assisted Living Communities,Highland Ridge Assistant Living,180 Scottie Dr,Dry Fork,KY,42141,(270) 659-2548,Melinda Page,N/A,101428,Pending Renewal,0,-85.89209847,37.01379062
118,Assisted Living Communities,Highlands Square,225 Norfleet Dr,Acorn,KY,42501,(606) 678-5865,Robin Smith,N/A,101474,06/30/2026,0,-84.59702402,37.08402169
119,Assisted Living Communities,Home Place Of Henderson,3104 Green River Rd,Henderson,KY,42420,(270) 869-2344,Jessica Beaven,N/A,101379,Pending Renewal,60,-87.5482283,37.87300027
120,Assisted Living Communities,Home Place Of Henderson,3104 Green River Rd,Henderson,KY,42420,(270) 869-2344,,N/A,,Pending Renewal,0,-87.5482283,37.87300027
121,Assisted Living Communities,Home Place Of Henderson At Adams Lane,6575 Adams Ln,Henderson,KY,42420,(270) 844-4918,Hannah Wadlington,N/A,101406,Pending Renewal,0,-87.55572978,37.80573517
122,Assisted Living Communities,Hometown Manor Glasgow,201 Trista Ln,Dry Fork,KY,42141,(270) 659-9167,Cassie Brueckbauer,N/A,101476,Pending Renewal,0,-85.90035781,37.00850203
123,Assisted Living Communities,Hometown Manor Of Bardstown,103 Manor Drive,Bardstown,KY,40004,(502) 348-4663,Cassie Hagan,N/A,101416,Pending Renewal,0,-85.42735742,37.79577279
124,Assisted Living Communities,Hometown Manor Of Georgetown,523 E Washington St,Georgetown,KY,40324,(502) 570-9700,Cassie Brueckbauer,N/A,101475,Pending Renewal,0,-84.55156488,38.21104438
125,Assisted Living Communities,Hometown Manor Of Lawrenceburg,101 Hawkins St ,Lawrenceburg,KY,40342,(502) 859-3025,Cassie Brueckbauer,N/A,101477,Pending Renewal,0,-84.89318582,38.03159669
126,Assisted Living Communities,Hometown Manor Of Russellville,108 Boyles Dr,Cave Spring,KY,42276,(270) 726-4187,Cassie Brueckbauer,N/A,101478,Pending Renewal,0,-86.8828857,36.81886101
127,Assisted Living Communities,Hometown Manor Shelbyville,74 Mack Walters Rd,Shelbyville,KY,40065,(502) 437-0814,Cassie Hagan,N/A,101417,Pending Renewal,0,-85.23994232,38.20942313
128,Assisted Living Communities,Hoskinson House Of Wesley Manor,5012 East Manslick Rd,Louisville,KY,40219,(502) 400-3203,Ray Dickison,N/A,101418,Pending Renewal,0,-85.66668713,38.11733005
129,Assisted Living Communities,Inspirations Of Mt Washington,520 Woodlake Dr ,Mount Washington,KY,40047,(502) 538-3172,Danille Brown,N/A,101419,Pending Renewal,0,-85.55782475,38.0451022
130,Assisted Living Communities,Inspirtations Of Mt Washington,520 Woodlake Dr,Mount Washington,KY,40047,(502) 568-1215,,N/A,101604,Pending Renewal,0,-85.55782475,38.0451022
131,Assisted Living Communities,Kenton Pointe Assisted Living,1455 Kenton Pointe Way,Country Club Heights,KY,41056,(606) 759-0311,Katherine Dunnavan,N/A,101480,Pending Renewal,0,-83.82415024,38.63794237
132,Assisted Living Communities,Laurel Village,815 Mill St ,London,KY,40741,(606) 864-9015,Kathey Young,N/A,101420,Pending Renewal,0,-84.09032328,37.13271501
133,Assisted Living Communities,Legacy Living Florence,8520 Gunpowder Rd,Florence,KY,41042,(859) 817-0968,Kyana Granaglia,N/A,101605,Pending Renewal,0,-84.66096866,38.97111632
134,Assisted Living Communities,Legacy Living Florence,8520 Gunpowder Rd,Florence,KY,41042,(859) 534-2436,Kyana Granaglia,N/A,101421,06/30/2026,0,-84.66096866,38.97111632
135,Assisted Living Communities,Legacy Reserve At Fritz Farm,2700 Man O War Blvd,Lexington,KY,40515,(859) 286-5111,Mallory Mcculloch,N/A,101330,Pending Renewal,53,-84.52996857,37.97603722
136,Assisted Living Communities,Lexington Country Place,700 Mason Headley Road,Lexington,KY,40504,(859) 276-1083,Tina Whitt,N/A,100527,Pending Renewal,22,-84.52869596,38.03576283
137,Assisted Living Communities,Liberty Ridge Senior Living,701 Liberty Ridge Ln ,Lexington,KY,40509,(859) 543-9449,Suzanne Schroerlucke,N/A,101482,Pending Renewal,0,-84.43673373,38.01792101
138,Assisted Living Communities,Madonna Manor,2344 Amsterdam Road,Villa Hills,KY,41017,(859) 426-6400,Denise Corrou,N/A,100268,Pending Renewal,24,-84.5832922,39.06731986
139,Assisted Living Communities,Madonna Manor,2344 Amsterdam Rd,Covington,KY,41017,(859) 426-6400,Paul Turner,N/A,101484,Pending Renewal,0,-84.5832922,39.06731986
140,Assisted Living Communities,Magnolia Springs East,13600 La Grange Rd,Louisville,KY,40245,(502) 855-7500,,N/A,101592,05/06/2026,0,-85.49940491,38.30131546
